Season,Player,Team,Games Played,Minutes per Game,Age,Games Started,Minutes per Game,Player Per Game Field Goals Made,Player Per Game Field Goals Attempted,Player Per Game Field Goal Percentage,Player Per Game 3 Pointers Made,Player Per Game 3 Pointers Attempted,Player Per Game Two Pointers Made,Player Per Game Two Pointers Attempted,Player Per Game Two Pointers Percentage,Player Per Game Effective Field Goal Percentage,Player Per Game Free Throws Made,Player Per Game Free Throws Attempted,Player Per Game Free Throw Percentage,Player Per Game Offensive Rebounds,Player Per Game Defensive Rebounds,Player Per Game Total Rebounds,Player Per Game Assists,Player Per Game Steals,Player Per Game Blocks,Player Per Game Turnovers,Player Per Game Personal Fouls,Player Per Game Points Per Game,Player Per Game 3 Pointers Percentage,Position
2001,John Stockton,Utah,82,29.2,38,82,29.2,4.0,7.9,.504,0.7,1.6,3.3,6.3,.514,.551,2.8,3.4,.817,0.7,2.1,2.8,8.7,1.6,0.3,2.5,2.4,11.5,.462,PG
2001,Pat Garrity,Orlando,76,20.8,24,1,20.8,2.9,7.6,.387,1.3,2.9,1.7,4.6,.358,.471,1.1,1.3,.867,0.7,2.1,2.8,0.7,0.5,0.2,0.9,3.2,8.3,.433,SF
2001,Cuttino Mobley,Houston,79,38.0,25,49,38.0,6.7,15.4,.434,1.1,3.2,5.5,12.2,.454,.471,5.0,6.0,.831,1.1,4.0,5.0,2.5,1.1,0.3,2.1,2.1,19.5,.357,SG
2001,Dion Glover,Atlanta,57,16.3,22,7,16.3,2.5,5.9,.420,0.2,0.8,2.3,5.1,.455,.433,0.8,1.2,.681,0.7,1.6,2.3,1.2,0.9,0.2,0.9,1.6,5.9,.196,SG
2001,Joe Smith,Detroit,69,28.1,25,59,28.1,4.5,11.1,.403,0.0,0.1,4.5,11.0,.405,.403,3.3,4.2,.805,2.3,4.8,7.1,1.1,0.7,0.7,1.3,3.7,12.3,.000,PF
2001,James Posey,Denver,82,27.5,24,82,27.5,3.0,7.2,.412,0.8,2.6,2.2,4.5,.477,.467,1.4,1.7,.816,1.5,3.7,5.3,2.0,1.1,0.5,1.2,2.8,8.1,.300,SF
2001,Toni Kukoc,Atlanta,17,36.4,32,14,36.4,7.3,14.8,.492,2.2,4.6,5.1,10.2,.497,.567,2.9,4.2,.681,1.1,4.6,5.7,6.2,0.8,0.3,3.0,2.1,19.7,.481,SF
2001,Scot Pollard,Sacramento,77,21.5,25,8,21.5,2.4,5.1,.468,0.0,0.0,2.4,5.1,.471,.468,1.7,2.2,.749,2.2,3.8,6.0,0.6,0.6,1.3,0.9,2.7,6.5,.000,C
2001,Steve Nash,Dallas,70,34.1,26,70,34.1,5.5,11.3,.487,1.3,3.1,4.2,8.2,.518,.544,3.3,3.7,.895,0.7,2.5,3.2,7.3,1.0,0.1,2.9,2.3,15.6,.406,PG
2001,Lari Ketner,Indiana,3,2.3,23,0,2.3,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,,PF
2001,Antawn Jamison,Golden State,82,41.4,24,82,41.4,9.8,22.1,.442,0.8,2.5,9.0,19.6,.459,.459,4.7,6.5,.715,3.4,5.3,8.7,2.0,1.4,0.3,2.4,2.7,24.9,.302,SF
2001,Chris Mills,Golden State,15,32.9,31,8,32.9,4.7,12.7,.372,0.5,1.7,4.3,11.1,.386,.390,2.1,2.4,.861,1.6,4.6,6.2,1.2,0.6,0.3,1.3,2.9,12.0,.280,SF
2001,Adam Keefe,Golden State,67,12.5,30,13,12.5,1.0,2.4,.403,0.0,0.0,0.9,2.3,.404,.406,0.6,0.9,.619,1.3,1.8,3.1,0.5,0.4,0.3,0.6,1.5,2.5,.333,PF
2001,Kevin Garnett,Minnesota,81,39.5,24,81,39.5,8.7,18.2,.477,0.2,0.8,8.5,17.4,.486,.484,4.4,5.8,.764,2.7,8.7,11.4,5.0,1.4,1.8,2.8,2.5,22.0,.288,PF
