Season,Team,Points Per Game,Opponent Points Per Game,Point Differential,Own FG%,Opponent FG%,Own 3p%,Opponent 3p%,FT%,Offensive Rebounds,Defensive Rebounds,Rebounding %,Own Turnovers,Opponent Turnovers,Offensive adjusted field goal %,Offensive ppg,Offensive FGM,Offensive FGA,Offensive 3pm,Offensive 3pa,Offensive FTA,Offensive FTM,Offensive PPS,Opponent adjusted field goal %,Opponent ppg,Opponent FGM,Opponent FGA,Opponent 3pm,Opponent 3pa,Opponent FTA,Opponent FTM,Opponent PPS,Opponent APG,Team APG,Team SPG,Opponent SPG,Team BPG,Opponent BPG,Team TPG,Opponent TPG,Team ATO,Team Techs
2008,Portland,95.4,96.3,-0.9,.448,.451,.377,.356,.767,.268,.718,.494,12.9,12.5,.489,95.4,35.8,79.8,6.6,17.4,22.5,17.2,1.19,.491,96.3,36.4,80.7,6.5,18.3,22.3,17.1,1.19,20.9,21.1,5.5,6.0,4.4,3.7,12.9,12.5,1.64,64
2009,Dallas,101.7,99.8,+1.9,.462,.455,.350,.375,.819,.266,.746,.508,12.7,13.0,.504,101.7,38.1,82.6,7.0,19.9,22.6,18.5,1.23,.493,99.8,37.5,82.3,6.3,16.8,23.3,18.6,1.21,19.6,21.7,7.2,7.2,5.2,4.1,12.7,13.0,1.71,55
2009,Philadelphia,97.4,97.3,+0.1,.459,.462,.318,.367,.745,.313,.714,.512,14.1,15.6,.485,97.4,36.5,79.7,4.2,13.1,27.0,20.1,1.22,.507,97.3,36.5,79.1,7.1,19.5,21.9,17.1,1.23,21.9,20.1,8.0,7.0,5.1,4.9,14.1,15.6,1.42,44
2009,Denver,104.3,100.9,+3.4,.470,.440,.371,.366,.760,.275,.717,.502,15.3,15.4,.512,104.3,37.3,79.4,6.7,18.0,30.3,23.1,1.31,.485,100.9,36.2,82.2,7.3,20.0,27.2,21.2,1.23,21.4,22.2,8.7,7.9,6.0,5.5,15.3,15.4,1.45,100
2009,Indiana,105.1,106.2,-1.1,.455,.458,.378,.375,.807,.254,.745,.498,14.5,14.0,.501,105.1,39.3,86.3,8.0,21.0,23.0,18.6,1.22,.499,106.2,38.3,83.7,6.9,18.5,29.6,22.6,1.27,21.1,21.6,7.0,7.7,5.3,5.4,14.5,14.0,1.49,89
2009,Golden State,108.6,112.3,-3.7,.458,.468,.373,.380,.791,.261,.681,.472,14.6,15.0,.497,108.6,39.4,86.0,6.7,18.0,29.2,23.1,1.26,.508,112.3,41.5,88.7,7.1,18.7,28.6,22.3,1.27,24.1,20.9,7.8,7.9,6.4,5.0,14.6,15.0,1.42,78
2009,Phoenix,109.4,107.5,+1.9,.504,.467,.383,.383,.744,.277,.717,.506,15.7,14.2,.545,109.4,41.1,81.6,6.7,17.6,27.5,20.4,1.34,.511,107.5,40.0,85.7,7.6,19.9,25.7,19.9,1.25,21.2,23.2,7.2,8.6,5.1,4.5,15.7,14.2,1.48,103
2009,Sacramento,100.6,109.3,-8.7,.447,.483,.368,.406,.798,.245,.699,.470,15.4,14.4,.491,100.6,36.5,81.5,7.1,19.4,25.7,20.5,1.23,.526,109.3,40.0,82.8,7.1,17.4,29.4,22.2,1.32,21.9,19.7,6.9,8.6,4.3,5.2,15.4,14.4,1.28,62
2009,Chicago,102.2,102.5,-0.3,.457,.458,.381,.347,.796,.280,.709,.496,14.5,14.4,.493,102.2,38.1,83.5,6.0,15.8,25.0,19.9,1.22,.493,102.5,38.3,83.7,5.9,17.1,25.3,19.9,1.22,21.0,21.1,7.5,7.6,5.5,5.5,14.5,14.4,1.45,60
2009,Utah,103.6,100.9,+2.7,.475,.464,.349,.361,.771,.282,.727,.505,14.8,16.1,.504,103.6,38.3,80.8,4.8,13.7,28.7,22.1,1.28,.505,100.9,36.8,79.4,6.5,18.0,27.2,20.8,1.27,20.0,24.7,8.8,8.0,4.6,5.2,14.8,16.1,1.67,50
