Player,Season,Age,Team,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,ft%,Steals,Turnovers,Games,Games Started,FGM,3pa,3pm,ftm,orb,drb,FG%,EFG%,TS%
Sam Cassell,[],,,6.3,1.8,1.6,18.9,1.1,0.0,0.9,0.339,5.9,0.7,0.81,0.5,0.7,,,2.1,3.9,1.3,0.9,,,0.348,,
Kaleb Castro,[],,,0.8,0.3,0.0,2.3,0.0,0.0,0.5,0.5,0.8,0.0,0.0,0.0,0.3,,,0.3,0.5,0.3,0.0,,,0.333,,
Rene Castro,[],,,4.9,1.0,1.1,12.6,1.3,0.0,0.8,0.333,4.2,1.1,0.636,0.3,0.9,,,1.7,1.8,0.6,0.8,,,0.411,,
Anthony Catotti,[],,,0.7,0.3,0.0,1.7,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,,,0.3,0.0,0.0,0.0,,,1.0,,
Troy Caupain,[],,,9.5,3.6,3.7,28.5,2.9,0.2,1.5,0.341,7.7,2.1,0.761,1.1,1.7,,,3.1,3.1,1.1,2.2,,,0.405,,
Tyler Cavanaugh,[],,,11.6,5.3,1.1,24.6,4.0,0.3,2.6,0.353,8.4,2.7,0.815,0.3,1.8,,,3.7,2.8,1.0,3.3,,,0.434,,
Ahmad Caver,[],,,6.2,2.5,2.6,22.0,2.2,0.3,1.6,0.329,6.1,1.1,0.591,0.8,1.2,,,2.0,2.9,0.9,1.3,,,0.328,,
Michal Cekovsky,[],,,3.4,2.4,0.2,11.4,1.1,0.6,1.9,0.0,2.5,1.4,0.45,0.2,0.6,,,1.4,0.0,0.0,0.5,,,0.568,,
Deniz Celen,[],,,1.0,1.9,0.2,6.4,0.2,0.0,0.8,0.0,1.1,0.4,1.0,0.2,0.3,,,0.4,0.5,0.0,0.2,,,0.385,,
Kamali Chambers,[],,,1.5,0.3,0.3,5.7,0.6,0.0,0.7,0.4,1.0,0.2,0.7,0.1,0.2,,,0.5,0.6,0.2,0.4,,,0.471,,
Michael Chambers,[],,,2.7,1.4,0.7,10.7,0.9,0.0,1.3,0.231,2.3,0.6,0.722,0.2,0.9,,,0.9,1.2,0.3,0.6,,,0.396,,
Siyani Chambers,[],,,10.7,2.4,5.0,35.0,3.6,0.0,1.5,0.37,8.5,1.9,0.786,1.4,2.6,,,3.2,3.7,1.4,2.9,,,0.38,,
Triston Chambers,[],,,7.7,1.7,1.0,21.7,0.4,0.0,2.0,0.438,5.8,0.3,0.889,0.5,0.7,,,2.5,5.1,2.2,0.4,,,0.438,,
Chuck Champion,[],,,3.0,1.4,0.6,15.1,1.0,0.1,1.2,0.143,3.6,0.9,0.706,0.9,0.9,,,1.1,1.2,0.2,0.7,,,0.29,,
Robert Champion,[],,,8.0,2.8,0.9,20.7,1.9,0.2,2.0,0.332,6.7,1.6,0.643,0.9,1.2,,,2.8,3.6,1.2,1.2,,,0.418,,
Armani Chaney,[],,,3.8,1.2,1.4,13.7,1.2,0.0,1.3,0.26,3.6,1.0,0.796,0.7,1.1,,,1.3,1.1,0.3,1.0,,,0.348,,
Trey Chapman,[],,,6.8,3.8,0.9,21.6,2.2,0.5,2.5,0.272,5.9,2.0,0.638,0.5,1.5,,,2.4,1.8,0.5,1.4,,,0.415,,
Drew Charles,[],,,7.1,2.5,1.3,20.6,1.6,0.0,2.3,0.386,5.9,1.0,0.742,0.8,1.2,,,2.3,3.4,1.3,1.2,,,0.39,,
Karl Charles,[],,,10.4,3.9,2.9,29.3,4.3,0.4,2.4,0.327,6.9,2.1,0.793,1.3,2.1,,,3.0,2.7,0.9,3.4,,,0.438,,
Travis Charles,[],,,6.8,3.5,0.4,15.8,1.9,0.1,2.5,0.0,4.9,2.8,0.6,0.2,0.8,,,2.8,0.0,0.0,1.1,,,0.573,,
Ty Charles,[],,,8.9,5.0,2.0,24.1,2.4,0.2,2.7,0.333,6.9,2.4,0.77,1.1,1.6,,,3.1,2.3,0.8,1.8,,,0.454,,
Zach Charles,[],,,7.5,6.6,0.4,23.5,3.7,1.2,2.8,0.125,4.6,2.4,0.685,0.7,0.8,,,2.5,0.3,0.0,2.5,,,0.536,,
Brandon Charnov,[],,,2.0,1.0,0.0,4.5,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,,,0.5,0.0,0.0,1.0,,,0.5,,
Joseph Chartouny,[],,,11.3,4.8,5.8,32.4,3.7,0.2,2.3,0.339,9.0,2.1,0.756,2.8,2.9,,,3.5,4.2,1.4,2.8,,,0.393,,
Ashtin Chastain,[],,,1.2,0.5,0.1,3.5,1.4,0.1,0.6,0.0,0.5,0.4,0.333,0.1,0.3,,,0.4,0.0,0.0,0.5,,,0.8,,
Matt Chastain,[],,,3.7,3.0,0.0,12.7,0.7,0.7,1.0,0.333,3.0,1.3,0.0,0.3,1.0,,,1.7,1.0,0.3,0.0,,,0.556,,
Andre Chatfield,[],,,1.4,1.1,0.4,8.4,0.3,0.1,0.8,0.25,1.1,0.4,0.733,0.4,0.5,,,0.5,0.5,0.1,0.3,,,0.449,,
Alonzo Chatman,[],,,1.2,2.4,0.0,5.6,0.6,0.4,1.4,0.0,0.8,0.4,0.667,0.4,0.4,,,0.4,0.0,0.0,0.4,,,0.5,,
Dorian Chatman,[],,,8.1,3.8,0.9,18.8,3.1,1.0,3.2,0.25,6.2,3.0,0.647,0.6,1.9,,,3.0,0.2,0.1,2.0,,,0.487,,
