Class,Conference,DPS,Minutes,OPA,Player Code,Player,School,TPA
SO,Big 12,28.66,709,11.21,"Wesley Harris, West Virginia",Wesley Harris,West Virginia,39.87
JR,SEC,33.31,825,43.03,"Jordan Geist, Missouri",Jordan Geist,Missouri,76.34
SR,Southern,1.52,908,19.71,"Marvin Smith, North Carolina-Greensboro",Marvin Smith,North Carolina-Greensboro,21.23
JR,MAC,27.12,1126,102.21,"Jeremy Harris, Buffalo",Jeremy Harris,Buffalo,129.33
JR,ACC,56.9,814,61.17,"Kerry Blackshear Jr., Virginia Tech",Kerry Blackshear Jr.,Virginia Tech,118.07
SR,A-10,24.99,1029,94.62,"Jared Terrell, Rhode Island",Jared Terrell,Rhode Island,119.61
JR,Big Ten,0.98,15,2.21,"Brent Hibbitts, Michigan",Brent Hibbitts,Michigan,3.19
,Ivy,1.08,13,1.92,"Ray Jerome, Pennsylvania",Ray Jerome,Pennsylvania,3
SR,Southern,27.08,901,-12.04,"Jordy Kuiper, North Carolina-Greensboro",Jordy Kuiper,North Carolina-Greensboro,15.04
SR,Big East,78.87,986,35.05,"Angel Delgado, Seton Hall",Angel Delgado,Seton Hall,113.92
JR,Horizon,31.86,1071,18.74,"Mark Hughes, Wright State",Mark Hughes,Wright State,50.6
SR,ACC,46.75,605,62,"Donte Grantham, Clemson",Donte Grantham,Clemson,108.75
JR,CAA,6.7,816,-4.02,"Marquise Pointer, College of Charleston",Marquise Pointer,College of Charleston,2.68
,Big 12,21.53,490,16.36,"Esa Ahmad, West Virginia",Esa Ahmad,West Virginia,37.89
FR,Big West,-0.77,49,3.43,"Landon Kirkwood, Cal State Fullerton",Landon Kirkwood,Cal State Fullerton,2.66
SR,ACC,33.21,488,0,"Nigel Johnson, Virginia",Nigel Johnson,Virginia,33.21
SR,MWC,7.34,207,-6.97,"Elijah Foster, Nevada",Elijah Foster,Nevada,0.37
FR,ACC,20.65,105,6.35,"Jay Huff, Virginia",Jay Huff,Virginia,27
FR,SEC,67.57,898,40.86,"PJ Washington, Kentucky",PJ Washington,Kentucky,108.43
FR,ACC,7.01,103,-3.12,"Marco Anthony, Virginia",Marco Anthony,Virginia,3.89
SR,MWC,30.58,300,4.75,"Kameron Rooks, San Diego State",Kameron Rooks,San Diego State,35.33
JR,Big East,0.02,13,-0.41,"Peyton Heck, Villanova",Peyton Heck,Villanova,-0.39
JR,Ivy,0.92,21,1.11,"Collin McManus, Pennsylvania",Collin McManus,Pennsylvania,2.03
SO,A-10,38.67,1013,52.73,"Jeff Dowtin, Rhode Island",Jeff Dowtin,Rhode Island,91.4
,Horizon,19.48,742,1.3,"Cole Gentry, Wright State",Cole Gentry,Wright State,20.78
SO,SEC,22.33,735,19.85,"Jordan Bone, Tennessee",Jordan Bone,Tennessee,42.18
JR,ACC,2.12,27,0.37,"Trevon Gross Jr., Virginia",Trevon Gross Jr.,Virginia,2.49
,MAC,-1.31,708,55.09,"Wes Clark, Buffalo",Wes Clark,Buffalo,53.78
SO,Big East,1.89,43,-2.34,"Tim Delaney, Villanova",Tim Delaney,Villanova,-0.45
FR,ACC,5.92,111,-4.3,"Howard Washington, Syracuse",Howard Washington,Syracuse,1.62
JR,ACC,0.39,2,1.2,"Shaun Belbey, Syracuse",Shaun Belbey,Syracuse,1.59
FR,Big 12,42.81,1113,27.92,"Matt Coleman, Texas",Matt Coleman,Texas,70.73
SO,SEC,114.24,695,28.25,"Robert Williams, Texas A&M",Robert Williams,Texas A&M,142.49
JR,Big 12,23.18,435,2.9,"Amaad Wainright, Kansas State",Amaad Wainright,Kansas State,26.08
JR,Horizon,17.86,176,-6.16,"Tye Wilburn, Wright State",Tye Wilburn,Wright State,11.7
FR,Ivy,5.69,147,-4.4,"Jarrod Simmons, Pennsylvania",Jarrod Simmons,Pennsylvania,1.29
SR,Pac-12,-2.06,24,3.3,"Alec Wulff, UCLA",Alec Wulff,UCLA,1.24
SO,Big East,1.81,1017,112.08,"Myles Powell, Seton Hall",Myles Powell,Seton Hall,113.89
,Ivy,1.93,157,-0.83,"Jake Silpe, Pennsylvania",Jake Silpe,Pennsylvania,1.1
JR,ACC,13.84,990,88.23,"Justin Robinson, Virginia Tech",Justin Robinson,Virginia Tech,102.07
JR,CUSA,-5.74,231,-14.56,"Dani Koljanin, Marshall",Dani Koljanin,Marshall,-20.3
FR,Big East,6.02,143,-7.53,"Jermaine Samuels, Villanova",Jermaine Samuels,Villanova,-1.51
FR,Big 12,-1.41,49,-2.91,"Hannes Polla, Oklahoma",Hannes Polla,Oklahoma,-4.32
FR,Big South,-0.88,15,1.73,"Anias Saunders, Radford",Anias Saunders,Radford,0.85
JR,ACC,66.52,793,29.1,"Chris Clarke, Virginia Tech",Chris Clarke,Virginia Tech,95.62
FR,SEC,29.76,1063,72.55,"Kevin Knox, Kentucky",Kevin Knox,Kentucky,102.31
JR,SEC,65.26,923,70.15,"Tyler Davis, Texas A&M",Tyler Davis,Texas A&M,135.41
JR,ACC,108.69,789,-2.65,"Elijah Thomas, Clemson",Elijah Thomas,Clemson,106.04
JR,SEC,60.25,897,63.42,"DJ Hogg, Texas A&M",DJ Hogg,Texas A&M,123.67
FR,WAC,-3.29,134,3.99,"Gabe Hadley, New Mexico State",Gabe Hadley,New Mexico State,0.7
JR,Big 12,15.92,680,22.75,"Eric Davis Jr., Texas",Eric Davis Jr.,Texas,38.67
,MWC,0.08,4,-0.21,"Elijah Cooks, Nevada",Elijah Cooks,Nevada,-0.13
SR,CUSA,5.38,313,-34.67,"Milan Mijovic, Marshall",Milan Mijovic,Marshall,-29.29
JR,MAC,1.54,415,20.76,"Dontay Caruthers, Buffalo",Dontay Caruthers,Buffalo,22.3
JR,SEC,45.18,852,63.25,"Admon Gilder, Texas A&M",Admon Gilder,Texas A&M,108.43
SO,A-10,37.71,483,6.7,"Cyril Langevine, Rhode Island",Cyril Langevine,Rhode Island,44.41
JR,SEC,14.79,799,9.41,"Kevin Puryear, Missouri",Kevin Puryear,Missouri,24.2
SR,Big East,71.03,689,28.17,"Ismael Sanogo, Seton Hall",Ismael Sanogo,Seton Hall,99.2
FR,Big Ten,0.71,7,-0.25,"Naji Ozeir, Michigan",Naji Ozeir,Michigan,0.46
FR,MAC,24.2,568,-6.31,"Jayvon Graves, Buffalo",Jayvon Graves,Buffalo,17.89
SO,Big 12,3.78,226,30.24,"Andrew Jones, Texas",Andrew Jones,Texas,34.02
SR,A-10,17.85,643,22.31,"Jarvis Garrett, Rhode Island",Jarvis Garrett,Rhode Island,40.16
FR,A-10,11.14,70,9.32,"Tshiefu Ngalakulondi, St. Bonaventure",Tshiefu Ngalakulondi,St. Bonaventure,20.46
FR,Pac-12,-0.11,3,0.28,"Joseph Wallace, UCLA",Joseph Wallace,UCLA,0.17
SR,Big East,16.91,1057,67.64,"Khadeen Carrington, Seton Hall",Khadeen Carrington,Seton Hall,84.55
SR,Big East,0.19,4,-0.07,"Matt Singleton, Xavier",Matt Singleton,Xavier,0.12
FR,Big East,22.11,311,12.16,"Sandro Mamukelashvili, Seton Hall",Sandro Mamukelashvili,Seton Hall,34.27
SO,Big Ten,3.69,49,-3.61,"Austin Davis, Michigan",Austin Davis,Michigan,0.08
SR,Horizon,41.86,443,-30.23,"Justin Mitchell, Wright State",Justin Mitchell,Wright State,11.63
SO,Big 12,17.08,216,7.21,"Logan Routt, West Virginia",Logan Routt,West Virginia,24.29
FR,SEC,37.85,515,24.33,"Nick Richards, Kentucky",Nick Richards,Kentucky,62.18
,A-10,4.89,564,13.7,"Fatts Russell, Rhode Island",Fatts Russell,Rhode Island,18.59
SR,Big 12,10.59,159,-9.27,"Mawdo Sallah, Kansas State",Mawdo Sallah,Kansas State,1.32
SO,MAC,24.06,866,-16.04,"Davonta Jordan, Buffalo",Davonta Jordan,Buffalo,8.02
SR,Big East,0.13,18,-2.59,"Tom Leibig, Villanova",Tom Leibig,Villanova,-2.46
SO,MAAC,-32.33,860,32.33,"E.J. Crawford, Iona",E.J. Crawford,Iona,0
SO,Big 12,21.85,296,-4.68,"Maciej Bender, West Virginia",Maciej Bender,West Virginia,17.17
JR,CAA,36.19,816,-36.19,"Nick Harris, College of Charleston",Nick Harris,College of Charleston,0
SR,Summit,21.02,896,51.75,"Skyler Flatten, South Dakota State",Skyler Flatten,South Dakota State,72.77
,Big Sky,0,0,0,"Peter Jones, Montana",Peter Jones,Montana,0
,SWAC,0,0,0,"Devocio Butler, Texas Southern",Devocio Butler,Texas Southern,0
,MEAC,0,0,0,"Rashann London, North Carolina Central",Rashann London,North Carolina Central,0
SR,Big East,-0.87,16,-1.66,"Denny Grace, Villanova",Denny Grace,Villanova,-2.53
JR,WAC,0.05,1,-0.08,"Wayne Stewart, New Mexico State",Wayne Stewart,New Mexico State,-0.03
FR,Big 12,95.93,921,86.49,"Zhaire Smith, Texas Tech",Zhaire Smith,Texas Tech,182.42
JR,MAC,7.59,455,-4.21,"Montell McRae, Buffalo",Montell McRae,Buffalo,3.38
SR,Pac-12,-2.25,40,2.18,"Austin Witherill, Arizona State",Austin Witherill,Arizona State,-0.07
SO,Pac-12,-0.19,3,0.08,"Armani Dodson, UCLA",Armani Dodson,UCLA,-0.11
SR,SEC,55.61,715,15.17,"Tonny Trocha-Morelos, Texas A&M",Tonny Trocha-Morelos,Texas A&M,70.78
SO,Big 12,13.94,463,19.36,"Jacob Young, Texas",Jacob Young,Texas,33.3
,SWAC,0.05,3,-0.19,"Aaron Campbell, Texas Southern",Aaron Campbell,Texas Southern,-0.14
SO,SEC,24.31,258,-8.68,"Reed Nikko, Missouri",Reed Nikko,Missouri,15.63
SO,Big 12,-0.63,19,0.66,"Pierson McAtee, Kansas State",Pierson McAtee,Kansas State,0.03
JR,Big Ten,-0.32,11,0.06,"Matt Lehmann, Ohio State",Matt Lehmann,Ohio State,-0.26
FR,ACC,-0.4,19,0.11,"Austin Katstra, Virginia",Austin Katstra,Virginia,-0.29
SR,Big 12,36.52,930,117.51,"Keenan Evans, Texas Tech",Keenan Evans,Texas Tech,154.03
FR,ACC,41.15,812,36.89,"Nickeil Alexander-Walker, Virginia Tech",Nickeil Alexander-Walker,Virginia Tech,78.04
FR,MAC,3.08,83,-1.38,"Brock Bertram, Buffalo",Brock Bertram,Buffalo,1.7
SR,SEC,15.87,528,7.47,"Duane Wilson, Texas A&M",Duane Wilson,Texas A&M,23.34
SR,ACC,12,981,63.43,"Justin Bibbs, Virginia Tech",Justin Bibbs,Virginia Tech,75.43
FR,SEC,15.2,430,7.6,"Savion Flagg, Texas A&M",Savion Flagg,Texas A&M,22.8
FR,Big Sky,-0.33,31,-0.16,"Admir Besovic, Montana",Admir Besovic,Montana,-0.49
FR,Big 12,76.11,874,68.65,"Jarrett Culver, Texas Tech",Jarrett Culver,Texas Tech,144.76
SR,Big 12,69.58,668,18.25,"Justin Gray, Texas Tech",Justin Gray,Texas Tech,87.83
FR,MWC,-0.57,6,-1.25,"John Jones, Nevada",John Jones,Nevada,-1.82
SO,MWC,-2.98,15,-3.99,"Charlie Tooley, Nevada",Charlie Tooley,Nevada,-6.97
JR,SEC,13.39,442,-2.23,"Cullen VanLeer, Missouri",Cullen VanLeer,Missouri,11.16
FR,WAC,0.17,32,-0.84,"Kortrijk Miles, New Mexico State",Kortrijk Miles,New Mexico State,-0.67
SR,A-10,12.11,698,2.42,"E.C. Matthews, Rhode Island",E.C. Matthews,Rhode Island,14.53
FR,Big East,-0.55,3,-0.14,"Nick Vanderpohl, Xavier",Nick Vanderpohl,Xavier,-0.69
SO,Big 12,11.63,331,5.24,"Chase Harler, West Virginia",Chase Harler,West Virginia,16.87
FR,Big 12,-4.54,369,10.38,"Teddy Allen, West Virginia",Teddy Allen,West Virginia,5.84
,SEC,14.48,256,-5.88,"JJ Caldwell, Texas A&M",JJ Caldwell,Texas A&M,8.6
JR,ACC,-0.23,2,-0.5,"Adrian Autry, Syracuse",Adrian Autry,Syracuse,-0.73
FR,SEC,-4.08,777,54.39,"Quade Green, Kentucky",Quade Green,Kentucky,50.31
FR,SEC,30.59,627,-21.1,"Jeremiah Tilmon, Missouri",Jeremiah Tilmon,Missouri,9.49
SR,ACC,-0.46,4,-0.43,"Patrick Herlihy, Syracuse",Patrick Herlihy,Syracuse,-0.89
JR,ACC,0,820,67.35,"Ahmed Hill, Virginia Tech",Ahmed Hill,Virginia Tech,67.35
JR,MWC,2.17,412,23.89,"Max Montana, San Diego State",Max Montana,San Diego State,26.06
JR,Big 12,5.8,330,11.02,"Shawn Olden, Texas Christian",Shawn Olden,Texas Christian,16.82
,Big 12,2.67,95,0,"D'Angelo Hunter, West Virginia",D'Angelo Hunter,West Virginia,2.67
FR,SEC,12.14,195,-3.28,"Blake Harris, Missouri",Blake Harris,Missouri,8.86
SR,MAC,-1.1,17,1.04,"Gabe Agorioge, Buffalo",Gabe Agorioge,Buffalo,-0.06
,MAAC,-0.71,2,-0.25,"Nils Taylor, Iona",Nils Taylor,Iona,-0.96
SO,ACC,-0.72,2,-0.24,"Ray Featherston, Syracuse",Ray Featherston,Syracuse,-0.96
JR,Big Ten,-0.18,26,-0.79,"Joey Lane, Ohio State",Joey Lane,Ohio State,-0.97
,Big 12,5.35,67,-5.58,"James Love, Kansas State",James Love,Kansas State,-0.23
FR,A-10,0.66,382,6.61,"Izaiah Brockington, St. Bonaventure",Izaiah Brockington,St. Bonaventure,7.27
JR,ACC,20.1,997,43.55,"Shelton Mitchell, Clemson",Shelton Mitchell,Clemson,63.65
,Big Ten,-0.2,3,-0.81,"Rico Ozuna-Harrison, Michigan",Rico Ozuna-Harrison,Michigan,-1.01
SR,Southern,-3.07,230,8.83,"Garrett Collins, North Carolina-Greensboro",Garrett Collins,North Carolina-Greensboro,5.76
,Big 12,-0.19,2,-0.75,"Austin Sottile, Texas Christian",Austin Sottile,Texas Christian,-0.94
FR,Sun Belt,-1.07,19,0.03,"Matt Chism, Georgia State",Matt Chism,Georgia State,-1.04
FR,MWC,14.11,446,7.84,"Jordan Schakel, San Diego State",Jordan Schakel,San Diego State,21.95
JR,A-10,-4.47,323,11.73,"Nelson Kaputo, St. Bonaventure",Nelson Kaputo,St. Bonaventure,7.26
FR,SEC,30.84,247,-4.58,"John Fulkerson, Tennessee",John Fulkerson,Tennessee,26.26
SR,Big 12,-0.08,12,-0.95,"Clayton Crawford, Texas Christian",Clayton Crawford,Texas Christian,-1.03
SO,Big Sky,-0.13,24,-1.05,"Niko Bevens, Montana",Niko Bevens,Montana,-1.18
JR,ACC,-0.67,22,-0.57,"Justice Bartley, Virginia",Justice Bartley,Virginia,-1.24
FR,A-10,-1.08,11,1.31,"Jason Lee, St. Bonaventure",Jason Lee,St. Bonaventure,0.23
FR,Horizon,59.6,946,-48.01,"Loudon Love, Wright State",Loudon Love,Wright State,11.59
SR,Pac-12,0.05,29,-1.35,"Ikenna Okwarabizie, UCLA",Ikenna Okwarabizie,UCLA,-1.3
JR,SEC,4.38,118,-2.09,"Chris Collins, Texas A&M",Chris Collins,Texas A&M,2.29
JR,Big East,22.87,536,10.48,"Michael Nzei, Seton Hall",Michael Nzei,Seton Hall,33.35
JR,Big South,-39.3,453,37.87,"Caleb Tanner, Radford",Caleb Tanner,Radford,-1.43
JR,SEC,1.07,212,4.64,"Terrence Phillips, Missouri",Terrence Phillips,Missouri,5.71
JR,Big 12,54.63,516,2.64,"Norense Odiase, Texas Tech",Norense Odiase,Texas Tech,57.27
FR,SEC,18.7,277,-7.01,"Derrick Walker, Tennessee",Derrick Walker,Tennessee,11.69
FR,SEC,8.25,104,1.05,"Yves Pons, Tennessee",Yves Pons,Tennessee,9.3
FR,ACC,42.09,464,-3.12,"Aamir Simms, Clemson",Aamir Simms,Clemson,38.97
FR,Big Ten,-0.69,7,-0.8,"C.J. Baird, Michigan",C.J. Baird,Michigan,-1.49
SO,SEC,29.25,398,11.14,"Sacha Killeya-Jones, Kentucky",Sacha Killeya-Jones,Kentucky,40.39
SR,ACC,23.49,517,7.23,"Devin Wilson, Virginia Tech",Devin Wilson,Virginia Tech,30.72
SO,Southern,22.11,662,-16.58,"Kyrin Galloway, North Carolina-Greensboro",Kyrin Galloway,North Carolina-Greensboro,5.53
FR,Big East,19.37,545,4.84,"Myles Cale, Seton Hall",Myles Cale,Seton Hall,24.21
SO,Big 12,-19.64,569,8.73,"Kameron McGusty, Oklahoma",Kameron McGusty,Oklahoma,-10.91
SO,Big East,2.04,230,-0.82,"Eron Gordon, Seton Hall",Eron Gordon,Seton Hall,1.22
SO,MWC,4.36,248,12.64,"Nolan Narain, San Diego State",Nolan Narain,San Diego State,17
SO,Big 12,-0.34,202,-0.67,"Brian Patrick, Kansas State",Brian Patrick,Kansas State,-1.01
JR,SEC,-0.02,10,3.7,"Adam Wolf, Missouri",Adam Wolf,Missouri,3.68
FR,SEC,24.42,821,12.93,"Hamidou Diallo, Kentucky",Hamidou Diallo,Kentucky,37.35
SR,ACC,0,86,-1.81,"Geno Thorpe, Syracuse",Geno Thorpe,Syracuse,-1.81
FR,Big Ten,0,7,-1.81,"Luke Wilson, Michigan",Luke Wilson,Michigan,-1.81
FR,Big 12,35.82,612,-8.19,"Jericho Sims, Texas",Jericho Sims,Texas,27.63
JR,Southern,13.08,870,-10.17,"Demetrius Troy, North Carolina-Greensboro",Demetrius Troy,North Carolina-Greensboro,2.91
FR,Big 12,16.93,482,8.87,"Jase Febres, Texas",Jase Febres,Texas,25.8
JR,Big West,-0.27,38,-1.59,"Ian Fox, Cal State Fullerton",Ian Fox,Cal State Fullerton,-1.86
SR,ACC,17.17,393,19.15,"Mark Donnal, Clemson",Mark Donnal,Clemson,36.32
,CAA,-0.55,3,-1.36,"Jermaine Blackmon Jr., College of Charleston",Jermaine Blackmon Jr.,College of Charleston,-1.91
JR,ACC,-0.5,11,-1.42,"Braedon Bayer, Syracuse",Braedon Bayer,Syracuse,-1.92
SO,Pac-12,-1.02,3,-0.93,"Isaac Wulff, UCLA",Isaac Wulff,UCLA,-1.95
SO,Big 12,8.58,95,-4.77,"James Banks, Texas",James Banks,Texas,3.81
JR,Summit,-17.11,1053,72.23,"Mike Daum, South Dakota State",Mike Daum,South Dakota State,55.12
,MAC,-1.2,25,-0.79,"Dominic Johnson, Buffalo",Dominic Johnson,Buffalo,-1.99
,ACC,34.16,442,-10.4,"David Skara, Clemson",David Skara,Clemson,23.76
SR,SEC,0.31,37,-0.93,"Brett Rau, Missouri",Brett Rau,Missouri,-0.62
FR,Big West,-1.62,4,-0.47,"Jose Garcia Gonzalez, Cal State Fullerton",Jose Garcia Gonzalez,Cal State Fullerton,-2.09
,SEC,22.49,238,10.83,"Jarred Vanderbilt, Kentucky",Jarred Vanderbilt,Kentucky,33.32
JR,Big 12,0.18,11,-1.9,"Kade Kinnamon, Kansas State",Kade Kinnamon,Kansas State,-1.72
FR,ACC,2.18,108,2.18,"Anthony Oliver II, Clemson",Anthony Oliver II,Clemson,4.36
,SEC,0.48,1,0.23,"Cameron Alo, Texas A&M",Cameron Alo,Texas A&M,0.71
FR,SEC,4.32,64,3.24,"Jalen Johnson, Tennessee",Jalen Johnson,Tennessee,7.56
SO,SEC,1.88,43,-1.05,"Tai Wynyard, Kentucky",Tai Wynyard,Kentucky,0.83
SO,Big East,0.31,6,-2.57,"Leighton Schrand, Xavier",Leighton Schrand,Xavier,-2.26
,CAA,-1,3,-1.27,"Trent Robinson, College of Charleston",Trent Robinson,College of Charleston,-2.27
FR,SEC,-0.59,25,-0.84,"Michael Porter Jr., Missouri",Michael Porter Jr.,Missouri,-1.43
SO,Pac-12,-0.74,12,-1.59,"Grant Fogerty, Arizona State",Grant Fogerty,Arizona State,-2.33
FR,ACC,3.02,72,-0.24,"Malik William, Clemson",Malik William,Clemson,2.78
JR,A-10,9.82,246,-0.85,"Nicola Akele, Rhode Island",Nicola Akele,Rhode Island,8.97
JR,WAC,1.4,38,-3.8,"Leston Gordon, New Mexico State",Leston Gordon,New Mexico State,-2.4
FR,ACC,8.53,222,4.27,"Wabissa Bede, Virginia Tech",Wabissa Bede,Virginia Tech,12.8
JR,MWC,11.93,679,-7.16,"Jeremy Hemsley, San Diego State",Jeremy Hemsley,San Diego State,4.77
FR,CAA,6.07,168,-8.55,"Osinachi Smart, College of Charleston",Osinachi Smart,College of Charleston,-2.48
FR,MAC,0,193,-2.5,"James Reese, Buffalo",James Reese,Buffalo,-2.5
FR,Big Ten,-0.59,9,-1.91,"Connor Fulton, Ohio State",Connor Fulton,Ohio State,-2.5
SO,AAC,0,979,148.84,"Landry Shamet, Wichita State",Landry Shamet,Wichita State,148.84
SO,ACC,3.48,199,1.74,"Tyrie Jackson, Virginia Tech",Tyrie Jackson,Virginia Tech,5.22
JR,A-10,12.45,92,-4.63,"Ryan Preston, Rhode Island",Ryan Preston,Rhode Island,7.82
SR,Ivy,1.37,37,-4.1,"Dan Dwyer, Pennsylvania",Dan Dwyer,Pennsylvania,-2.73
FR,SEC,4.75,48,-4.16,"Isiah Jasey, Texas A&M",Isiah Jasey,Texas A&M,0.59
FR,Big East,0.34,24,-1.71,"Shavar Reynolds, Seton Hall",Shavar Reynolds,Seton Hall,-1.37
FR,Patriot,16.51,758,-19.26,"Jimmy Sotos, Bucknell",Jimmy Sotos,Bucknell,-2.75
SR,AAC,63.58,758,60.93,"Shaquille Morris, Wichita State",Shaquille Morris,Wichita State,124.51
JR,Horizon,2.05,15,-0.13,"Adam Giles, Wright State",Adam Giles,Wright State,1.92
FR,Pac-12,-0.49,8,-2.4,"Jordan Salzman, Arizona State",Jordan Salzman,Arizona State,-2.89
JR,Big South,2.01,58,-4.94,"Darius Bolstad, Radford",Darius Bolstad,Radford,-2.93
SR,A-10,-3.78,545,11.35,"Andre Berry, Rhode Island",Andre Berry,Rhode Island,7.57
JR,SEC,-0.24,5,-0.23,"Frank Byers, Texas A&M",Frank Byers,Texas A&M,-0.47
FR,Big East,0.2,57,-2.94,"Philip Flory, Seton Hall",Philip Flory,Seton Hall,-2.74
FR,A-Sun,-2.35,53,-0.71,"John Matt Merritt, Lipscomb",John Matt Merritt,Lipscomb,-3.06
SO,A-10,0.19,36,0.37,"Mike Layssard, Rhode Island",Mike Layssard,Rhode Island,0.56
SR,Big 12,28.47,667,22.78,"Niem Stevenson, Texas Tech",Niem Stevenson,Texas Tech,51.25
SR,AAC,64.5,769,44.35,"Rashard Kelly, Wichita State",Rashard Kelly,Wichita State,108.85
SO,A-10,0.09,4,-1.1,"Jack Galatio, St. Bonaventure",Jack Galatio,St. Bonaventure,-1.01
JR,SEC,0.14,3,-0.09,"Dillon Pulliam, Kentucky",Dillon Pulliam,Kentucky,0.05
SR,Horizon,-0.13,18,-3.21,"Trey Stacey, Wright State",Trey Stacey,Wright State,-3.34
SO,Big South,-1.28,22,-2.08,"Devin Cooper, Radford",Devin Cooper,Radford,-3.36
SR,Big 12,45.4,391,-4.01,"Zach Smith, Texas Tech",Zach Smith,Texas Tech,41.39
,Big 12,0.11,64,-3.52,"Mike McGuirl, Kansas State",Mike McGuirl,Kansas State,-3.41
SO,AAC,16.86,689,65.02,"Austin Reaves, Wichita State",Austin Reaves,Wichita State,81.88
FR,Big Sky,-1.03,42,-2.43,"Lars Espe, Montana",Lars Espe,Montana,-3.46
FR,A-Sun,-1.32,14,-2.21,"Zach Flener, Lipscomb",Zach Flener,Lipscomb,-3.53
JR,Big 12,14.18,519,18.61,"Brandone Francis, Texas Tech",Brandone Francis,Texas Tech,32.79
FR,MAC,-0.33,20,-3.41,"Colby Moultrie, Buffalo",Colby Moultrie,Buffalo,-3.74
FR,ACC,-0.54,307,5.36,"P.J. Horne, Virginia Tech",P.J. Horne,Virginia Tech,4.82
SO,Big West,18.87,540,-22.65,"Davon Clare, Cal State Fullerton",Davon Clare,Cal State Fullerton,-3.78
FR,Big East,1.31,123,-4.37,"Jordan Walker, Seton Hall",Jordan Walker,Seton Hall,-3.06
SO,Sun Belt,-1.29,13,-2.65,"Nile Felton, Georgia State",Nile Felton,Georgia State,-3.94
JR,A-10,1.2,11,-0.84,"Will Leviton, Rhode Island",Will Leviton,Rhode Island,0.36
SR,MWC,0.17,98,-10.6,"Darien Williams, Nevada",Darien Williams,Nevada,-10.43
FR,CAA,-1.03,30,-3.01,"Brevin Galloway, College of Charleston",Brevin Galloway,College of Charleston,-4.04
SO,ACC,-0.19,4,-0.82,"Isaac Fields, Clemson",Isaac Fields,Clemson,-1.01
SO,A-10,2.31,14,-2.28,"Michael Tertsea, Rhode Island",Michael Tertsea,Rhode Island,0.03
SR,Big 12,21.13,495,-5.92,"Tommy Hamilton, Texas Tech",Tommy Hamilton,Texas Tech,15.21
JR,SEC,4.21,208,-1.4,"Chris Darrington, Tennessee",Chris Darrington,Tennessee,2.81
JR,ACC,-0.68,6,-1.23,"Lyles Davis, Clemson",Lyles Davis,Clemson,-1.91
SR,Summit,13.38,494,25.86,"Lane Severyn, South Dakota State",Lane Severyn,South Dakota State,39.24
SR,AAC,1.24,707,64.25,"Conner Frankamp, Wichita State",Conner Frankamp,Wichita State,65.49
JR,SEC,-0.58,7,1.88,"Lucas Campbell, Tennessee",Lucas Campbell,Tennessee,1.3
JR,A-Sun,-25.83,639,20.91,"Matt Rose, Lipscomb",Matt Rose,Lipscomb,-4.92
SR,AAC,28.85,635,34.4,"Zach Brown, Wichita State",Zach Brown,Wichita State,63.25
SR,Big 12,-0.99,18,-3.99,"Mason Schoen, Kansas State",Mason Schoen,Kansas State,-4.98
FR,ACC,3.25,215,-5.42,"Clyde Trapp, Clemson",Clyde Trapp,Clemson,-2.17
FR,Big 12,10.4,406,0,"Davide Moretti, Texas Tech",Davide Moretti,Texas Tech,10.4
JR,Southern,-2.48,33,-2.59,"Lloyd Burgess, North Carolina-Greensboro",Lloyd Burgess,North Carolina-Greensboro,-5.07
SO,SWAC,-79.82,937,74.73,"Demontrae Jefferson, Texas Southern",Demontrae Jefferson,Texas Southern,-5.09
SR,Summit,7.55,523,16.99,"Ian Theisen, South Dakota State",Ian Theisen,South Dakota State,24.54
SR,Big 12,-2.26,23,1.13,"Dalton Dry, Texas Christian",Dalton Dry,Texas Christian,-1.13
,MAC,2.88,311,-8.07,"Ikenna Smart, Buffalo",Ikenna Smart,Buffalo,-5.19
,Ivy,-1.2,12,-4.03,"Zack Kaminsky, Pennsylvania",Zack Kaminsky,Pennsylvania,-5.23
FR,Summit,-41.27,994,41.27,"David Jenkins, Jr., South Dakota State","David Jenkins, Jr.",South Dakota State,0
JR,Horizon,1.09,69,-6.4,"Alan Vest, Wright State",Alan Vest,Wright State,-5.31
JR,Horizon,28.33,771,-33.73,"Parker Ernsthausen, Wright State",Parker Ernsthausen,Wright State,-5.4
SR,ACC,0.1,14,-3.87,"Nicholas Fullard, Virginia Tech",Nicholas Fullard,Virginia Tech,-3.77
,Ivy,-1.78,39,-3.71,"Jakub Mijakowski, Pennsylvania",Jakub Mijakowski,Pennsylvania,-5.49
SR,A-Sun,2.01,55,-7.52,"Asa Duvall, Lipscomb",Asa Duvall,Lipscomb,-5.51
FR,Big East,0.54,99,-6.07,"Elias Harden, Xavier",Elias Harden,Xavier,-5.53
FR,Patriot,4.24,73,-9.8,"Paul Newman, Bucknell",Paul Newman,Bucknell,-5.56
SR,AAC,15.27,437,17.56,"Rauno Nurger, Wichita State",Rauno Nurger,Wichita State,32.83
SR,Ivy,-7.23,111,1.56,"Sam Jones, Pennsylvania",Sam Jones,Pennsylvania,-5.67
SO,Sun Belt,2.73,47,-8.52,"Chris Clerkley, Georgia State",Chris Clerkley,Georgia State,-5.79
FR,Big 12,0.06,33,-5.22,"RJ Nembhard, Texas Christian",RJ Nembhard,Texas Christian,-5.16
JR,MWC,0.66,27,-2.37,"Michael Sohikish, San Diego State",Michael Sohikish,San Diego State,-1.71
