Class,Conference,DPS,Minutes,OPA,Player Code,Player,School,TPA
SR,MVC,34.75,701,19.69,"Ben Richardson, Loyola (IL)",Ben Richardson,Loyola (IL),54.44
JR,Big Ten,17.52,684,67.74,"Matt McQuaid, Michigan State",Matt McQuaid,Michigan State,85.26
SO,ACC,8.28,1281,68.27,"Tyus Battle, Syracuse",Tyus Battle,Syracuse,76.55
SO,Big East,-0.72,56,-1.43,"Jordan Scurry, Creighton",Jordan Scurry,Creighton,-2.15
FR,ACC,-1.35,6,1.12,"Travis Light, Florida State",Travis Light,Florida State,-0.23
SO,SEC,-17.14,506,29.76,"C.J. Jones, Arkansas",C.J. Jones,Arkansas,12.62
SO,SEC,46.4,440,-15.47,"Daniel Giddens, Alabama",Daniel Giddens,Alabama,30.93
FR,SEC,9.81,349,1.23,"Alex Reese, Alabama",Alex Reese,Alabama,11.04
FR,AAC,21.71,159,-10.32,"Eliel Nsoseme, Cincinnati",Eliel Nsoseme,Cincinnati,11.39
SO,ACC,-0.87,5,0.01,"Harrison Prieto, Florida State",Harrison Prieto,Florida State,-0.86
,SEC,0.16,6,-0.19,"Jt Plummer, Arkansas",Jt Plummer,Arkansas,-0.03
JR,Big Ten,54.63,421,19.41,"Kenny Goins, Michigan State",Kenny Goins,Michigan State,74.04
SO,Ivy,72.27,955,1.68,"AJ Brodeur, Pennsylvania",AJ Brodeur,Pennsylvania,73.95
SR,Big 12,34.8,1168,116.67,"Sviatoslav Mykhailiuk, Kansas",Sviatoslav Mykhailiuk,Kansas,151.47
FR,MVC,33.35,651,19.36,"Lucas Williamson, Loyola (IL)",Lucas Williamson,Loyola (IL),52.71
SR,Patriot,21.64,1084,51.15,"Zach Thomas, Bucknell",Zach Thomas,Bucknell,72.79
,ACC,17.62,705,84.31,"Cameron Johnson, North Carolina",Cameron Johnson,North Carolina,101.93
JR,MVC,31.93,920,16.72,"Marques Townes, Loyola (IL)",Marques Townes,Loyola (IL),48.65
FR,AAC,1.98,36,-3.03,"Mike Adewunmi, Houston",Mike Adewunmi,Houston,-1.05
JR,ACC,36.77,1265,34.73,"Franklin Howard, Syracuse",Franklin Howard,Syracuse,71.5
FR,Big Ten,33.36,264,16.68,"Xavier Tillman, Michigan State",Xavier Tillman,Michigan State,50.04
SO,Big East,9.55,323,7.31,"Maliek White, Providence",Maliek White,Providence,16.86
FR,AAC,6.36,46,-3.83,"Mamoudou Diarra, Cincinnati",Mamoudou Diarra,Cincinnati,2.53
FR,SEC,14,161,6.31,"Dontay Bassett, Florida",Dontay Bassett,Florida,20.31
JR,AAC,14.49,384,-20.42,"Breaon Brady, Houston",Breaon Brady,Houston,-5.93
SO,CAA,-15.82,1070,84.36,"Grant Riller, College of Charleston",Grant Riller,College of Charleston,68.54
,Pac-12,33.11,570,35.17,"De'Quon Lake, Arizona State",De'Quon Lake,Arizona State,68.28
SO,AAC,0.34,9,0.28,"John Koz, Cincinnati",John Koz,Cincinnati,0.62
JR,A-Sun,-37.5,974,105,"Garrison Mathews, Lipscomb",Garrison Mathews,Lipscomb,67.5
SR,SEC,2.63,166,3.79,"Riley Norris, Alabama",Riley Norris,Alabama,6.42
FR,Pac-12,19.55,718,46.91,"Remy Martin, Arizona State",Remy Martin,Arizona State,66.46
SO,SEC,12.16,246,-0.42,"Gorjok Gak, Florida",Gorjok Gak,Florida,11.74
FR,AAC,21.65,325,-22.19,"Keith Williams, Cincinnati",Keith Williams,Cincinnati,-0.54
SO,Big East,18.49,332,-11.55,"Drew Edwards, Providence",Drew Edwards,Providence,6.94
FR,CUSA,4.16,544,-7.27,"Jannson Williams, Marshall",Jannson Williams,Marshall,-3.11
JR,AAC,2.69,58,-8.75,"Valentine Sangoyomi, Houston",Valentine Sangoyomi,Houston,-6.06
FR,Pac-12,18.42,275,-4.25,"Ira Lee, Arizona",Ira Lee,Arizona,14.17
FR,Pac-12,8.48,949,55.98,"Kris Wilkes, UCLA",Kris Wilkes,UCLA,64.46
SO,Big 12,63.34,753,71.26,"Udoka Azubuike, Kansas",Udoka Azubuike,Kansas,134.6
SR,Big 12,77.98,789,58.49,"Mitchell Solomon, Oklahoma State",Mitchell Solomon,Oklahoma State,136.47
FR,ACC,24.63,511,14.59,"Garrison Brooks, North Carolina",Garrison Brooks,North Carolina,39.22
FR,CUSA,2.85,373,-9.97,"Darius George, Marshall",Darius George,Marshall,-7.12
SR,A-10,-0.81,99,3.23,"Jordan Watkins, Davidson",Jordan Watkins,Davidson,2.42
SR,Big Ten,65.82,1218,103.71,"Muhammad-Ali Abdur-Rahkman, Michigan",Muhammad-Ali Abdur-Rahkman,Michigan,169.53
SO,ACC,-0.49,34,7.34,"Darius Hicks, North Carolina State",Darius Hicks,North Carolina State,6.85
SR,Big Ten,27.92,327,21.22,"Gavin Schilling, Michigan State",Gavin Schilling,Michigan State,49.14
SR,Big Ten,44.36,903,79.85,"Duncan Robinson, Michigan",Duncan Robinson,Michigan,124.21
SR,Patriot,47.49,969,12.31,"Nana Foulland, Bucknell",Nana Foulland,Bucknell,59.8
,SEC,8.45,279,-8.95,"Arlando Cook, Arkansas",Arlando Cook,Arkansas,-0.5
JR,Big Sky,47.66,1046,11,"Bobby Moorehead, Montana",Bobby Moorehead,Montana,58.66
SO,Big Ten,10.58,885,24.18,"Joshua Langford, Michigan State",Joshua Langford,Michigan State,34.76
SR,Big Ten,7.8,571,5.85,"Lourawls Nairn, Michigan State",Lourawls Nairn,Michigan State,13.65
JR,A-Sun,12.32,914,45.75,"Rob Marberry, Lipscomb",Rob Marberry,Lipscomb,58.07
SR,ACC,14.22,395,-11.38,"Abdul-Malik Abu, North Carolina State",Abdul-Malik Abu,North Carolina State,2.84
,Pac-12,43.7,535,13.59,"Mickey Mitchell, Arizona State",Mickey Mitchell,Arizona State,57.29
SO,Southland,24.73,478,-3.53,"John Comeaux, Stephen F. Austin",John Comeaux,Stephen F. Austin,21.2
SO,Big 12,45.55,782,48.31,"Cameron McGriff, Oklahoma State",Cameron McGriff,Oklahoma State,93.86
SO,AAC,-1.02,15,0.47,"Jackson Bart, Cincinnati",Jackson Bart,Cincinnati,-0.55
SR,ACC,0.81,89,-1.77,"Brandon Allen, Florida State",Brandon Allen,Florida State,-0.96
FR,SEC,2.7,33,2.7,"Chase Johnson, Florida",Chase Johnson,Florida,5.4
