
Rk,Season,Conf,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Coach(es)
92,1924-25,Ind,4,9,.308,,,,,,,,,George Buckheit (4-9)
93,1923-24,Ind,19,6,.760,,,,,,,,,J.S. Burbage (19-6)
94,1922-23,Ind,15,7,.682,,,,,,,,,J.S. Burbage (15-7)
95,1921-22,Ind,6,12,.333,,,,,,,,,James Baldwin (6-12)
96,1920-21,Ind,9,6,.600,,,,,,,,,Floyd Egan (9-6)
97,1919-20,Ind,10,4,.714,,,,,,,,,W.J. Rothensies (10-4)
98,1918-19,Ind,6,5,.545,,,,,,,,,H.P. Cole (6-5)
99,1917-18,Ind,10,5,.667,,,,,,,,,Chick Doak (10-5)
100,1916-17,Ind,20,4,.833,,,,,,,,,Chick Doak (20-4)
Rk,Season,Conf,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Coach(es)
101,1915-16,Ind,9,11,.450,,,,,,,,,Chick Doak (9-11)
102,1914-15,Ind,10,10,.500,,,,,,,,,Noble Clay (10-10)
103,1913-14,Ind,12,9,.571,,,,,,,,,Noble Clay (12-9)
104,1912-13,Ind,11,8,.579,,,,,,,,,J.E. Brinn (11-8)
105,1911-12,Ind,6,1,.857,,,,,,,,,Cap Card (6-1)
106,1910-11,Ind,4,3,.571,,,,,,,,,Cap Card (4-3)
107,1909-10,Ind,4,4,.500,,,,,,,,,Cap Card (4-4)
108,1908-09,Ind,8,1,.889,,,,,,,,,Cap Card (8-1)
109,1907-08,Ind,2,3,.400,,,,,,,,,Cap Card (2-3)
110,1906-07,Ind,4,2,.667,,,,,,,,,Cap Card (4-2)
111,1905-06,Ind,2,3,.400,,,,,,,,,Cap Card (2-3)
