Player,Season,Age,Team,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,ft%,Steals,Turnovers,Games,Games Started,FGM,3pa,3pm,ftm,orb,drb,FG%,EFG%,TS%
Omer Asik,2017-18,31,NOP,1.3,2.4,0.2,7.8,0.6,0,0.6,,1.2,0.417,0.5,0,0.2,10,0,0.5,0,0,0.3,0.4,2,0.417,0.417,0.444
Omri Casspi,2017-18,29,GSW,7,4.5,1.2,16.2,1.5,0.5,1.5,0.563,4.5,0.631,0.75,0.4,0.7,31,6,2.8,0.5,0.3,1.2,0.7,3.8,0.623,0.656,0.682
Otto Porter,2017-18,24,WAS,14.6,6.6,1.7,31,1.6,0.6,1.9,0.451,11.4,0.533,0.808,1.5,0.8,32,32,5.8,3.8,1.7,1.3,1.2,5.4,0.505,0.581,0.6
P.J. Tucker,2017-18,32,HOU,6.1,6.2,0.9,27.8,1.1,0.3,2.8,0.364,5,0.471,0.8,1.2,1,32,4,2,3.4,1.3,0.9,1.2,5,0.398,0.522,0.556
Pascal Siakam,2017-18,23,TOR,6.4,4.7,1.8,19.9,1,0.5,1.9,0.141,6.1,0.611,0.545,1,0.8,32,4,2.8,2,0.3,0.6,1.1,3.6,0.456,0.479,0.489
Pat Connaughton,2017-18,25,POR,5.9,2.2,1.2,19.3,0.6,0.3,1.4,0.376,4.9,0.544,0.762,0.2,0.6,33,5,2.2,2.8,1.1,0.5,0.3,1.9,0.447,0.556,0.573
Patrick Beverley,2017-18,29,LAC,12.2,4.1,2.9,30.4,1.5,0.5,3.1,0.4,10.8,0.407,0.824,1.7,2.3,11,11,4.4,5.5,2.2,1.3,1.5,2.6,0.403,0.504,0.53
Patrick McCaw,2017-18,22,GSW,4.3,1.4,1.5,16.1,0.7,0.2,1,0.313,3.6,0.587,0.714,0.8,0.6,31,5,1.7,1.5,0.5,0.5,0.3,1.1,0.468,0.536,0.557
Patrick Patterson,2017-18,28,OKC,3.1,1.9,0.5,14.3,0.3,0.2,1.1,0.362,2.9,0.355,1,0.6,0.5,35,0,1,2,0.7,0.3,0.3,1.6,0.36,0.485,0.518
Patty Mills,2017-18,29,SAS,9.7,2,2.9,24.9,1.2,0.2,1.5,0.396,7.9,0.482,0.878,0.7,1.3,35,12,3.4,4.7,1.9,1,0.3,1.7,0.432,0.549,0.576
Pau Gasol,2017-18,37,SAS,10.8,8.2,3.2,25.1,2.3,1.2,1.5,0.424,8.3,0.498,0.818,0.3,1.4,33,33,4,2,0.8,1.9,1.5,6.7,0.48,0.531,0.575
Paul George,2017-18,27,OKC,20.5,5.7,3.1,37.2,4.2,0.6,2.9,0.426,16.6,0.415,0.812,2.5,2.9,33,33,7,7.3,3.1,3.4,0.9,4.7,0.42,0.514,0.554
Paul Millsap,2017-18,32,DEN,15.3,6.2,3,29.7,4.1,1.3,2.4,0.345,12.6,0.486,0.692,1.1,2.1,16,16,5.6,3.6,1.3,2.8,1.5,4.7,0.446,0.495,0.531
Paul Zipser,2017-18,23,CHI,4,2.8,1,15.5,0.5,0.2,1.5,0.328,4.7,0.333,0.571,0.4,0.9,31,7,1.5,2,0.6,0.3,0.3,2.5,0.331,0.4,0.41
Quincy Acy,2017-18,27,BRK,5.7,4,0.6,17.9,1.2,0.2,2,0.325,5.2,0.333,0.806,0.3,1,29,0,1.7,4,1.3,1,0.6,3.4,0.327,0.453,0.497
Quincy Pondexter,2017-18,29,CHI,2.4,1.3,0.4,9.7,0.9,0.1,1.2,0.136,2.6,0.417,0.824,0.4,0.6,18,1,0.7,1.2,0.2,0.8,0.4,0.8,0.283,0.315,0.402
Quinn Cook,2017-18,24,GSW,3.2,1.1,1.6,10.3,0.1,0,0.9,0.357,2.9,0.533,1,0,0.3,10,2,1.3,1.4,0.5,0.1,0.2,0.9,0.448,0.534,0.543
Rajon Rondo,2017-18,31,NOP,6.9,4.1,8.3,25.2,0.2,0.3,1.9,0.357,6.3,0.524,1,0.9,2.3,20,19,3,2.1,0.8,0.2,0.5,3.6,0.468,0.528,0.536
