X,Y,Prob,Low,High,,,Descriptives...,,,,,,,,
23.9,1,0.7495,0.7191,0.7776,,,,,,,,,,,
23.8,0,0.7416,0.711,0.77,,,,,,,,,,,
23.8,0,0.7416,0.711,0.77,,,,,,,,,,,
23.8,1,0.7416,0.711,0.77,,,,,,,,,,,
23.8,1,0.7416,0.711,0.77,,,,,,,,,,,
23.8,1,0.7416,0.711,0.77,,,,,,,,,,,
23.7,0,0.7335,0.7027,0.7622,,,,,,,,,,,
23.7,0,0.7335,0.7027,0.7622,,,,,,,,,,,
23.7,0,0.7335,0.7027,0.7622,,,,,,,,,,,
23.6,1,0.7252,0.6943,0.7542,,,,,,,,,,,
23.6,1,0.7252,0.6943,0.7542,,,,,,,,,,,
23.6,1,0.7252,0.6943,0.7542,,,,,,,,,,,
23.6,1,0.7252,0.6943,0.7542,,,,,,,,,,,
23.6,1,0.7252,0.6943,0.7542,,,,,,,,,,,
23.6,1,0.7252,0.6943,0.7542,,,,,,,,,,,
23.6,0,0.7252,0.6943,0.7542,,,,,,,,,,,
23.5,0,0.7168,0.6857,0.746,,,,,,,,,,,
23.5,0,0.7168,0.6857,0.746,,,,,,,,,,,
23.5,0,0.7168,0.6857,0.746,,,,,,,,,,,
23.5,1,0.7168,0.6857,0.746,,,,,,,,,,,
23.5,1,0.7168,0.6857,0.746,,,,,,,,,,,
23.5,1,0.7168,0.6857,0.746,,,,,,,,,,,
23.5,1,0.7168,0.6857,0.746,,,,,,,,,,,
23.5,0,0.7168,0.6857,0.746,,,,,,,,,,,
23.5,0,0.7168,0.6857,0.746,,,,,,,,,,,
23.4,0,0.7083,0.677,0.7377,,,,,,,,,,,
23.4,0,0.7083,0.677,0.7377,,,,,,,,,,,
23.4,0,0.7083,0.677,0.7377,,,,,,,,,,,
23.4,0,0.7083,0.677,0.7377,,,,,,,,,,,
23.4,0,0.7083,0.677,0.7377,,,,,,,,,,,
23.4,1,0.7083,0.677,0.7377,,,,,,,,,,,
23.4,1,0.7083,0.677,0.7377,,,,,,,,,,,
23.4,1,0.7083,0.677,0.7377,,,,,,,,,,,
23.4,1,0.7083,0.677,0.7377,,,,,,,,,,,
23.4,1,0.7083,0.677,0.7377,,,,,,,,,,,
23.4,1,0.7083,0.677,0.7377,,,,,,,,,,,
23.4,1,0.7083,0.677,0.7377,,,,,,,,,,,
23.4,1,0.7083,0.677,0.7377,,,,,,,,,,,
23.4,1,0.7083,0.677,0.7377,,,,,,,,,,,
23.3,0,0.6996,0.6682,0.7292,,,,,,,,,,,
