Player,Season,Age,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,FGM,ft%,Steals,Turnovers,EFG%,TS%,Games,3pa,Games Started
Alex Abrines,2016-17,23,5.6,1.2,0.5,14.4,0.9,0.1,1.5,0.377,4.6,0.442,1.8,0.865,0.5,0.6,0.53,0.567,40,3.3,0
Quincy Acy,2016-17,26,5.1,2,0.1,9.5,1.3,0.2,1.4,0.476,3.4,0.5,1.6,0.833,0.2,0.4,0.596,0.646,14,1.5,0
Steven Adams,2016-17,23,12.2,7.5,1.1,30.3,3.1,1.1,2.4,0,8.5,0.595,5,0.71,1.2,1.9,0.592,0.621,45,0,45
Arron Afflalo,2016-17,31,7.6,1.9,1.1,24.3,1.3,0.1,1.7,0.4,6.4,0.447,2.7,0.92,0.4,0.6,0.504,0.549,38,2.4,23
Alexis Ajinca,2016-17,28,4.3,4.3,0.3,14.1,0.7,0.7,1.7,0,4.1,0.482,1.9,0.714,0.4,0.8,0.465,0.488,21,0.1,10
Cole Aldrich,2016-17,28,2.1,3.2,0.5,10.4,0.5,0.5,1.7,,1.6,0.537,0.9,0.667,0.5,0.3,0.537,0.564,41,0,0
LaMarcus Aldridge,2016-17,31,17.6,7.1,2.3,32.3,4,1,2.3,0.484,13.9,0.503,7,0.823,0.6,1.3,0.515,0.562,41,0.8,41
Lavoy Allen,2016-17,27,1.3,2.3,0.9,11.8,0.2,0.3,1.1,0,1.8,0.322,0.6,0.75,0.2,0.3,0.317,0.346,33,0,0
Tony Allen,2016-17,35,9.8,5.7,1.3,28.2,2.2,0.5,2.7,0.269,8.7,0.491,4.1,0.64,1.8,1.6,0.484,0.508,40,0.7,38
Al-Farouq Aminu,2016-17,26,7.2,7,2.1,28,1.7,0.7,1.8,0.258,7.3,0.425,2.6,0.7,1,1.5,0.408,0.445,29,3.2,23
Chris Andersen,2016-17,38,2.3,2.6,0.4,9.5,1.2,0.6,1.7,0,1.8,0.474,0.8,0.714,0.4,0.4,0.409,0.497,12,0.3,0
Alan Anderson,2016-17,34,3.2,0.9,0.5,11.4,0.6,0,1.3,0.321,3.2,0.37,1.1,0.7,0.1,0.3,0.427,0.455,17,1.6,0
Justin Anderson,2016-17,23,7.2,3.2,0.7,15.4,2,0.4,1.4,0.315,6,0.465,2.4,0.798,0.6,0.8,0.468,0.524,42,2.6,2
Kyle Anderson,2016-17,23,2.9,2.6,1,13.6,0.7,0.4,0.8,0.421,2.4,0.461,1.1,0.846,0.7,0.5,0.495,0.545,40,0.5,11
Ryan Anderson,2016-17,28,13.8,5,0.9,30.4,2.1,0.2,2,0.407,10.8,0.463,4.6,0.896,0.5,0.9,0.555,0.591,46,6.7,46
Giannis Antetokounmpo,2016-17,22,23.5,8.9,5.4,35,7.1,2,3.3,0.281,16.3,0.576,8.6,0.789,1.8,3,0.551,0.607,44,2.6,44
Carmelo Anthony,2016-17,32,22.7,6,3.1,33.6,5.3,0.4,2.7,0.372,18.5,0.466,8.1,0.835,0.9,2,0.494,0.545,46,5.6,46
Joel Anthony,2016-17,34,0,4,0,5,0,0,0,,1,0,0,,0,0,0,0,1,0,0
Trevor Ariza,2016-17,31,12.3,5.4,2.2,34.6,1.3,0.3,1.7,0.372,10.3,0.553,4.4,0.698,1.9,0.9,0.557,0.569,49,7.2,49
Darrell Arthur,2016-17,28,6.7,2.4,1,15.3,0.3,0.4,2.2,0.518,5,0.49,2.5,1,0.3,1,0.643,0.655,21,2.7,5
Omer Asik,2016-17,30,2.8,5.4,0.5,15.9,1.3,0.3,1.6,,2.2,0.477,1,0.59,0.2,0.4,0.477,0.517,30,0,19
D.J. Augustin,2016-17,29,8.6,1.4,3.2,20.3,1.8,0,1.4,0.363,7.2,0.432,2.8,0.864,0.4,1.1,0.494,0.542,46,4,20
Luke Babbitt,2016-17,27,4.5,2.2,0.4,16,0.4,0.2,1.5,0.358,4.4,0.375,1.6,0.692,0.3,0.3,0.481,0.492,37,2.9,24
Ron Baker,2016-17,23,3.4,1.7,1.1,11.3,0.6,0.1,1,0.313,3.3,0.432,1.2,0.75,0.6,0.8,0.449,0.478,21,1.5,3
Wade Baldwin,2016-17,20,3.5,1.4,2.1,13.2,1.4,0.3,1.2,0.111,3.6,0.369,1.1,0.844,0.6,1.3,0.325,0.417,23,0.8,1
Leandro Barbosa,2016-17,34,5.4,1.4,1.2,12.7,0.3,0.1,1,0.431,5,0.47,2.3,0.857,0.4,0.5,0.512,0.524,43,1.2,0
J.J. Barea,2016-17,32,12.2,2.9,4.9,24.7,1.8,0.1,0.7,0.351,10.7,0.466,4.5,0.939,0.5,1.7,0.49,0.53,18,4.1,5
Harrison Barnes,2016-17,24,20.4,5.3,1.5,35.8,3.4,0.3,1.6,0.348,17.4,0.501,8.2,0.859,0.9,1.3,0.504,0.542,46,3,46
Matt Barnes,2016-17,36,7.2,4.8,2.7,24.4,1.2,0.3,2.5,0.323,6.9,0.438,2.6,0.706,0.6,1.5,0.464,0.488,42,3.8,12
Will Barton,2016-17,26,13.5,4.3,3,28.5,3.3,0.4,1.9,0.414,10.5,0.474,4.8,0.764,0.8,1.5,0.522,0.564,33,3.4,17
Brandon Bass,2016-17,31,5.6,2.5,0.5,12.2,1.5,0.2,1,0.5,3.6,0.586,2.1,0.913,0.2,0.7,0.588,0.657,31,0.1,0
Nicolas Batum,2016-17,28,14.8,7.3,5.9,34.6,3.9,0.4,1.6,0.325,12.4,0.442,4.9,0.846,1.1,2.5,0.46,0.521,43,4.9,43
Jerryd Bayless,2016-17,28,11,4,4.3,23.7,3.3,0,1.3,0.4,10.7,0.333,3.7,0.9,0,3,0.375,0.453,3,1.7,1
Aron Baynes,2016-17,30,4.4,3.7,0.3,15.2,1.3,0.4,2.3,,3.3,0.49,1.6,0.879,0.3,0.8,0.49,0.566,44,0,2
Kent Bazemore,2016-17,27,10.8,3.2,2.7,27.1,2.3,0.6,2.3,0.317,10.3,0.427,4,0.71,1.3,1.6,0.445,0.477,44,3.7,41
Bradley Beal,2016-17,23,21.9,2.8,3.6,34.4,4.9,0.3,2.2,0.386,16.6,0.506,7.6,0.816,1,2,0.537,0.582,41,7.1,41
Malik Beasley,2016-17,20,2.7,0.5,0.3,5.1,0.5,0,0.4,0.286,2.8,0.421,1,0.667,0.3,0,0.424,0.449,12,1.2,0
Michael Beasley,2016-17,28,8.8,3.6,1.1,16.5,1.8,0.4,1.7,0.48,6.9,0.517,3.5,0.761,0.5,1.2,0.537,0.571,37,0.7,0
Marco Belinelli,2016-17,30,10.8,2.6,1.9,24.6,2.1,0.1,1.3,0.403,8.4,0.465,3.7,0.875,0.7,0.9,0.529,0.576,41,3.9,0
DeAndre' Bembry,2016-17,22,2.5,1.2,0.4,7.5,0.8,0,0.4,0,2.2,0.581,1.1,0.462,0.1,0.4,0.486,0.492,17,0.4,0
Dragan Bender,2016-17,19,3.1,2.1,0.4,12.6,0.2,0.5,1.6,0.321,3.2,0.475,1.2,0.375,0.2,0.7,0.479,0.477,37,2.1,0
Anthony Bennett,2016-17,23,5,3.4,0.5,11.5,1.6,0.1,0.8,0.271,4,0.568,1.7,0.722,0.2,0.5,0.484,0.533,23,2.1,1
Davis Bertans,2016-17,24,3.7,1.1,0.7,10.1,0.6,0.4,1.1,0.405,2.5,0.7,1.2,0.833,0.2,0.4,0.628,0.66,37,2,1
Patrick Beverley,2016-17,28,9.4,5.9,4.4,30.9,0.8,0.5,3.3,0.397,8.1,0.493,3.6,0.786,1.6,1.4,0.546,0.561,35,4.2,35
Bismack Biyombo,2016-17,24,6.3,7.7,1,24.5,3.2,1.3,2.3,,4.5,0.522,2.3,0.49,0.3,1.3,0.522,0.53,46,0,23
Nemanja Bjelica,2016-17,28,5.8,3.2,1,17,1,0.2,2.2,0.295,5.2,0.54,2.1,0.814,0.6,0.9,0.485,0.518,44,2.9,1
Tarik Black,2016-17,25,5.8,5.2,0.6,15.8,1.9,0.5,2.6,0,4.3,0.512,2.2,0.761,0.3,0.7,0.509,0.566,38,0,1
Eric Bledsoe,2016-17,27,21,5,6.2,33,6.3,0.4,2.7,0.321,15.8,0.499,7.1,0.848,1.4,3.1,0.494,0.564,46,4.7,46
Bojan Bogdanovic,2016-17,27,14.1,3.4,1.6,26.5,3,0.1,1.8,0.378,10.9,0.492,4.8,0.875,0.5,1.5,0.527,0.578,45,5,44
Andrew Bogut,2016-17,32,3.1,8.6,2,23.2,0.5,1,3.2,0,3.2,0.474,1.5,0.273,0.5,1.7,0.468,0.458,24,0,21
Joel Bolomboy,2016-17,23,0.9,1.1,0.1,2.2,0.4,0.1,0.1,0,0.6,0.75,0.3,0.5,0.1,0.1,0.6,0.592,9,0.1,0
Devin Booker,2016-17,20,20.7,2.8,3.2,34.5,4.6,0.2,3.2,0.368,17.6,0.448,7.5,0.837,0.9,2.9,0.479,0.528,45,5.1,45
Trevor Booker,2016-17,29,9.9,8.7,2.3,26.9,1.7,0.5,2.1,0.298,8,0.555,4.2,0.676,1.4,1.8,0.539,0.559,41,1.1,41
Avery Bradley,2016-17,26,17.7,6.9,2.4,34.9,1.8,0.2,2.7,0.409,15,0.51,7.1,0.762,1.3,1.8,0.545,0.561,36,5.2,36
Corey Brewer,2016-17,30,4.2,2,1,15.8,0.8,0.2,1.8,0.232,4,0.536,1.6,0.711,0.6,0.7,0.456,0.484,49,1.7,8
Malcolm Brogdon,2016-17,24,9.2,2.8,4.2,25.2,1.5,0.1,1.9,0.426,7.9,0.442,3.5,0.866,1.1,1.5,0.501,0.538,45,2.4,12
Aaron Brooks,2016-17,32,5.5,1.2,2.3,14.6,0.7,0.2,1.5,0.348,5,0.474,2.1,0.786,0.5,1.1,0.495,0.518,41,2.2,0
Anthony Brown,2016-17,24,3.6,2.9,0.6,14.7,0,0.1,1.4,0.25,4.3,0.474,1.5,,0.5,0.5,0.419,0.419,10,2.4,0
Bobby Brown,2016-17,32,0.9,0.4,0.1,3,0,0,0.2,0.2,1.7,0.25,0.4,,0,0.1,0.273,0.273,13,0.8,0
Jaylen Brown,2016-17,20,4.9,2.1,0.6,13.5,1.1,0.3,1.5,0.298,4.3,0.479,1.9,0.7,0.3,0.7,0.471,0.505,44,1.1,4
Nicolas Brussino,2016-17,23,1.6,1.3,0.7,7.3,0.2,0.1,0.7,0.273,1.6,0.571,0.6,0.857,0.3,0.4,0.457,0.489,30,1.1,0
Reggie Bullock,2016-17,25,6.4,2.6,1.2,19.9,0.4,0.3,1.3,0.296,5.9,0.615,2.7,0.5,0.4,0.7,0.528,0.53,9,3,3
Trey Burke,2016-17,24,4.8,0.7,1.6,12.1,0.5,0.1,1,0.455,4.3,0.47,2,0.7,0.2,0.8,0.523,0.536,41,1.1,0
Alec Burks,2016-17,25,6.3,1.5,0.5,11.4,2.3,0.2,1.3,0.267,4.5,0.59,2.3,0.63,0.3,0.3,0.537,0.569,12,1.3,0
Jimmy Butler,2016-17,27,24.9,6.6,4.8,36.8,9.5,0.3,1.6,0.354,16.6,0.488,7.6,0.874,1.8,2.1,0.497,0.597,45,3.6,45
Bruno Caboclo,2016-17,21,0.4,0.8,0.4,2.9,0,0,0.4,0.333,0.6,0,0.1,,0.3,0.3,0.3,0.3,8,0.4,0
Jose Calderon,2016-17,35,3.5,1.7,2.1,12.4,0.2,0,1,0.353,3.3,0.465,1.4,1,0.3,1.1,0.494,0.508,23,1.5,11
Kentavious Caldwell-Pope,2016-17,23,14.5,3.4,3,33.6,2.4,0.2,1.6,0.394,12.2,0.446,5.2,0.837,1.3,1.2,0.511,0.546,41,5.5,41
Isaiah Canaan,2016-17,25,5.7,1.6,1.1,18.5,1,0,1.2,0.265,5.4,0.507,2,0.889,0.7,0.7,0.447,0.488,28,3,0
Clint Capela,2016-17,22,11.5,7.6,0.9,23.1,2.4,1.5,2.6,,8.4,0.623,5.2,0.457,0.4,1.2,0.623,0.612,34,0,31
DeMarre Carroll,2016-17,30,9.8,3.7,0.8,26.1,1.7,0.4,2,0.361,8.2,0.486,3.4,0.794,1.2,0.6,0.518,0.549,41,4.7,41
Vince Carter,2016-17,40,8.2,3.3,1.7,23.9,1.7,0.5,2.2,0.349,6.9,0.463,2.7,0.71,0.8,0.6,0.5,0.53,40,4.2,0
Michael Carter-Williams,2016-17,25,7.4,4.6,2.4,21.8,1.9,0.4,2.6,0.219,7.8,0.389,2.7,0.8,0.9,1.8,0.375,0.428,18,1.8,12
Omri Casspi,2016-17,28,5.9,4.1,1.2,18,1,0,1,0.379,5.3,0.477,2.4,0.571,0.5,0.8,0.5,0.511,22,1.3,2
Willie Cauley-Stein,2016-17,23,4.5,2.4,0.3,11.6,1.1,0.4,1.8,0,3.6,0.556,2,0.537,0.4,0.5,0.551,0.558,38,0,0
Tyson Chandler,2016-17,34,8.7,12.1,0.6,28.3,2.5,0.5,2.7,,5.1,0.683,3.5,0.699,0.6,1.5,0.683,0.702,37,0,36
Wilson Chandler,2016-17,29,15.7,6.9,2,30.4,2.6,0.3,2.3,0.346,13.5,0.507,6.1,0.731,0.7,1.6,0.511,0.536,41,4.4,13
Marquese Chriss,2016-17,19,7.2,3.3,0.6,17.7,1.5,0.5,3,0.317,6.4,0.487,2.7,0.634,0.7,1.2,0.483,0.506,46,2.3,39
Rakeem Christmas,2016-17,25,1,1,0.3,4.7,0.3,0.3,0.3,,1.3,0.25,0.3,1,0,0,0.25,0.338,3,0,0
Semaj Christon,2016-17,24,3.2,1.4,2.5,15.4,0.5,0.1,1.3,0.179,4,0.406,1.4,0.474,0.4,0.7,0.369,0.378,36,1.1,0
Ian Clark,2016-17,25,6.6,1.4,1.1,14,0.9,0.1,1,0.407,5.2,0.547,2.5,0.737,0.5,0.6,0.573,0.592,42,2.2,0
Jordan Clarkson,2016-17,24,14.1,2.9,2.2,27.7,1.9,0.1,1.8,0.342,12.5,0.501,5.6,0.792,1.2,1.9,0.505,0.53,50,3.8,3
Darren Collison,2016-17,29,12.6,2.1,4.2,29.4,2.6,0.1,1.7,0.406,9.9,0.496,4.7,0.853,0.9,1.5,0.527,0.572,37,2.7,33
Nick Collison,2016-17,36,1.3,1,0.6,5.9,0.3,0.1,0.6,,0.9,0.6,0.5,0.667,0.1,0.2,0.6,0.618,11,0,0
Mike Conley,2016-17,29,18.6,3.8,6.2,32.5,4.7,0.4,1.8,0.401,14.2,0.452,6.1,0.861,1.3,2.3,0.511,0.571,35,5.6,34
Pat Connaughton,2016-17,24,1.6,0.9,0.4,6.3,0.3,0.1,0.4,0.5,1.1,0.563,0.6,0.667,0.1,0.1,0.625,0.638,21,0.4,0
DeMarcus Cousins,2016-17,26,28,10.3,4.4,34.6,9.7,1.4,3.6,0.365,20.8,0.474,9.4,0.773,1.4,3.4,0.491,0.557,44,4.7,44
Robert Covington,2016-17,26,10.8,5.9,1.6,30.5,2,0.9,3,0.305,9.9,0.472,3.7,0.805,1.7,2,0.463,0.5,41,5.9,41
Allen Crabbe,2016-17,24,10.4,2.9,1.3,28.8,1.7,0.2,2,0.424,8.1,0.486,3.7,0.852,0.6,0.9,0.551,0.587,47,3.5,7
Jamal Crawford,2016-17,36,11.9,1.7,2.9,26.4,2.2,0.2,1.4,0.32,11.1,0.431,4.4,0.874,0.6,1.8,0.448,0.491,47,3.8,1
Jae Crowder,2016-17,26,13.7,5.2,2.2,32.3,2.1,0.3,2.3,0.418,9.8,0.575,4.8,0.899,1,1.1,0.604,0.641,37,5.4,37
Dante Cunningham,2016-17,29,6.3,4.4,0.6,25.4,0.3,0.6,1.8,0.382,5.9,0.462,2.5,0.545,0.6,0.5,0.521,0.523,33,3.1,22
Seth Curry,2016-17,26,10.8,2.3,2.5,27,1.1,0.1,1.8,0.422,8.9,0.495,4.1,0.766,1.2,1.2,0.559,0.575,42,4.1,14
Stephen Curry,2016-17,28,24.6,4.2,6.2,33.6,4.7,0.2,2.2,0.404,17.7,0.537,8.2,0.917,1.7,3,0.575,0.624,46,9.6,46
Troy Daniels,2016-17,25,9.5,1.4,0.8,19.1,1.2,0.1,1.6,0.392,8.2,0.372,3.2,0.842,0.4,0.6,0.52,0.546,33,5.6,3
Anthony Davis,2016-17,23,28.1,11.9,2.2,35.9,9.1,2.4,2.3,0.296,20.5,0.518,10.2,0.793,1.3,2.5,0.512,0.575,42,1.7,42
Deyonta Davis,2016-17,20,2,2,0.1,7.4,0.5,0.5,1.3,,1.5,0.541,0.8,0.615,0,0.3,0.541,0.562,24,0,0
Ed Davis,2016-17,27,4,5.2,0.6,17,1.6,0.5,3,,2.9,0.513,1.5,0.677,0.3,0.8,0.513,0.562,41,0,11
Dewayne Dedmon,2016-17,27,4.9,5.7,0.5,16,1.3,0.8,2.4,,3.4,0.595,2,0.706,0.6,0.6,0.595,0.626,39,0,3
Sam Dekker,2016-17,22,7.5,4.1,1.1,19.6,1,0.3,1.1,0.326,6.3,0.585,3,0.571,0.6,0.6,0.543,0.55,49,2.8,1
Malcolm Delaney,2016-17,27,6,1.8,2.9,17.4,1.3,0,1.5,0.275,5.6,0.46,2.3,0.81,0.5,1.5,0.447,0.49,46,1.5,0
Matthew Dellavedova,2016-17,26,7.7,2.2,5.3,26.7,1.3,0,2,0.342,7.2,0.417,2.8,0.827,0.8,1.8,0.455,0.491,40,2.9,33
Luol Deng,2016-17,31,8,5.6,1.5,27.3,1.2,0.3,1.1,0.321,7.9,0.441,3.1,0.685,0.9,0.8,0.456,0.476,46,3,46
DeMar DeRozan,2016-17,27,27.9,5.3,3.8,35.4,8.8,0.2,1.9,0.258,21.3,0.488,10,0.85,1.2,2.4,0.481,0.556,44,1.4,44
Cheick Diallo,2016-17,20,4.6,3.6,0.3,10.4,1.1,0.3,1,,4.3,0.436,1.9,0.7,0.3,0.2,0.436,0.472,9,0,0
Boris Diaw,2016-17,34,5.2,2.1,2.3,18.7,0.5,0.1,1.3,0.3,4.8,0.526,2.2,0.833,0.2,1.3,0.505,0.523,39,1.3,19
Gorgui Dieng,2016-17,27,10.8,7.5,2,32.2,2,1.2,3.3,0.316,8.5,0.546,4.5,0.763,1,1.5,0.542,0.573,46,0.4,46
Spencer Dinwiddie,2016-17,23,5.8,2.6,2.7,20.5,1.8,0.5,2.3,0.333,4.5,0.474,2,0.775,0.5,1.4,0.48,0.54,22,1.1,8
Toney Douglas,2016-17,30,5.8,2.7,2.7,17.8,0.8,0.2,1.5,0.273,6,0.44,2.3,0.8,1,0.8,0.431,0.458,6,1.8,0
Goran Dragic,2016-17,30,19.5,4,6.3,34.6,4.9,0.2,2.7,0.408,15.1,0.482,7,0.787,0.9,3.2,0.516,0.563,38,3.9,38
Andre Drummond,2016-17,23,14.2,13.5,1.1,30.5,4.5,1.2,3,0.5,11.6,0.531,6.1,0.431,1.6,2.1,0.533,0.526,45,0.1,45
Jared Dudley,2016-17,31,7.8,3.5,1.7,22.6,1.2,0.2,2.6,0.436,5.7,0.566,2.8,0.622,0.7,1.3,0.616,0.623,31,3.3,7
Mike Dunleavy,2016-17,36,4.9,2.1,0.9,16.1,0.8,0.1,1.4,0.395,4.1,0.431,1.7,0.75,0.3,0.6,0.528,0.552,31,2.5,2
Kris Dunn,2016-17,22,3.9,2.2,2.5,16.9,1.1,0.4,2.2,0.302,4,0.392,1.5,0.58,1,1.3,0.406,0.433,46,0.9,6
Kevin Durant,2016-17,28,26.2,8.4,4.7,34.3,6.6,1.7,2,0.388,17.1,0.608,9.3,0.868,1.2,2.3,0.601,0.656,46,5,46
Henry Ellenson,2016-17,20,1.5,0.9,0.3,4,0.1,0,0.2,0.286,1.6,0.444,0.6,1,0,0.4,0.435,0.448,14,1,0
Wayne Ellington,2016-17,29,11.2,2,1.4,27.3,1,0.1,1.2,0.335,9.9,0.556,4.1,0.885,0.8,0.3,0.521,0.542,26,6.4,10
Monta Ellis,2016-17,31,8.3,2.9,3.2,27.9,2,0.4,2,0.29,7.2,0.468,3.1,0.838,1,2,0.461,0.514,37,1.7,23
Joel Embiid,2016-17,22,19.8,7.8,2.1,25.3,7.9,2.5,3.6,0.348,13.6,0.495,6.3,0.777,0.8,3.7,0.501,0.579,30,3.1,30
James Ennis,2016-17,26,7.8,4.5,1.1,26.1,2.1,0.3,3,0.388,5.9,0.487,2.6,0.779,0.8,1,0.526,0.574,33,2.4,18
Tyler Ennis,2016-17,22,2,0.6,1.1,6.6,0.1,0,1,0.357,2.2,0.391,0.9,0.667,0.2,0.8,0.425,0.432,27,0.5,0
Tyreke Evans,2016-17,27,10.3,3.3,4,17.4,2.3,0.2,1.6,0.327,9.1,0.444,3.7,0.854,0.9,1.4,0.46,0.511,18,3.1,0
Dante Exum,2016-17,21,5.9,1.9,1.7,19.5,0.9,0.2,2.4,0.272,5.5,0.515,2.2,0.839,0.3,1,0.467,0.501,33,2.5,16
Kenneth Faried,2016-17,27,9.6,7.7,0.9,22.1,3.2,0.8,2,0,6.6,0.572,3.7,0.699,0.7,1,0.561,0.603,41,0.1,21
Jordan Farmar,2016-17,30,6,1.5,4.5,17.5,0,0,0.5,0.444,6,0,2,,1,1.5,0.5,0.5,2,4.5,0
Derrick Favors,2016-17,25,9.3,6,1,23.3,2.6,0.9,2.2,0.333,8.3,0.457,3.8,0.635,0.8,1.3,0.458,0.49,33,0.2,26
Kay Felder,2016-17,21,4.8,1.1,1.6,10.2,1.6,0.1,1.1,0.267,4.3,0.419,1.7,0.707,0.4,0.6,0.417,0.472,25,0.6,0
Cristiano Felicio,2016-17,24,4.6,5,0.6,14.8,1.5,0.2,1.7,,3.2,0.556,1.8,0.684,0.4,0.5,0.556,0.592,39,0,0
Raymond Felton,2016-17,32,7.5,2.6,2.5,21.9,0.7,0.4,1.8,0.352,7,0.48,3.1,0.774,0.8,1,0.494,0.51,45,2,8
Yogi Ferrell,2016-17,23,5.4,1.2,1.7,15.1,1.6,0.2,1.1,0.296,4.9,0.455,1.8,0.625,0.2,1.4,0.449,0.482,10,2.7,0
Dorian Finney-Smith,2016-17,23,4.9,2.8,0.9,21.9,0.8,0.3,1.7,0.342,4.1,0.528,1.7,0.8,0.7,0.6,0.519,0.549,45,2.5,29
Bryn Forbes,2016-17,23,1.3,0.5,0.1,5.1,0.1,0,0.6,0.231,1.5,0.5,0.5,1,0.1,0,0.42,0.432,17,0.8,0
Evan Fournier,2016-17,24,17,3.1,3.3,33,3.8,0.1,2.7,0.358,13.7,0.489,6.1,0.826,1,2.1,0.506,0.554,36,4.8,35
Randy Foye,2016-17,33,5.1,2.2,2.2,18,0.9,0.2,1.4,0.337,4.8,0.375,1.7,0.786,0.4,1.3,0.458,0.49,32,3.1,3
Tim Frazier,2016-17,26,9.3,3.1,6.3,26.4,2.3,0.2,2.4,0.363,7.8,0.457,3.3,0.805,1,2.1,0.482,0.532,36,2.2,23
Channing Frye,2016-17,33,9.1,3.2,0.6,18.6,1,0.4,2,0.435,7.2,0.443,3.1,0.868,0.5,0.7,0.575,0.6,37,4.5,2
Danilo Gallinari,2016-17,28,17,5,2.2,34.2,5.9,0.3,1.5,0.387,11.5,0.46,5,0.883,0.7,1.4,0.511,0.601,41,4.9,41
Langston Galloway,2016-17,25,9.4,2.4,1.3,21.6,1,0.1,1.5,0.378,8.8,0.372,3.3,0.778,0.8,0.6,0.486,0.505,45,5.2,0
Marc Gasol,2016-17,32,20.6,6.1,4.2,34.3,5,1.4,2.2,0.395,16.2,0.483,7.5,0.825,1.1,2.1,0.508,0.558,45,3.6,45
Pau Gasol,2016-17,36,11.7,7.9,2.7,26.4,2.6,1.2,1.7,0.465,9.4,0.516,4.8,0.644,0.4,1.3,0.537,0.558,39,1.1,39
Rudy Gay,2016-17,30,18.7,6.3,2.7,33.8,4.6,0.9,2.6,0.372,14.7,0.483,6.7,0.855,1.5,2.5,0.502,0.559,30,3.8,30
Michael Gbinije,2016-17,24,0.5,0.4,0.3,3.6,0.3,0,0.3,0,1.3,0.167,0.1,1,0,0,0.1,0.184,8,0.5,0
Alonzo Gee,2016-17,29,0.8,1.1,0.5,6.8,0.7,0.1,1.1,0,1.1,0.273,0.2,0.556,0.4,0.3,0.214,0.306,13,0.2,0
Paul George,2016-17,26,22.4,6,3.3,35.4,4.8,0.3,2.7,0.395,17.2,0.485,7.8,0.923,1.7,2.8,0.522,0.58,38,6,38
Jonathan Gibson,2016-17,29,6.2,1.3,1.5,13.6,1.7,0,1.2,0.333,5.6,0.4,2.1,0.724,0.5,1.2,0.447,0.492,17,2.6,0
Taj Gibson,2016-17,31,11.5,7.1,1.1,27.6,2.2,1,2.3,0.125,9.8,0.517,5,0.687,0.6,1.4,0.511,0.535,46,0.2,46
Manu Ginobili,2016-17,39,8,2.5,2.5,19.2,1.8,0.3,1.7,0.394,6.8,0.357,2.6,0.868,1.2,1.4,0.477,0.53,38,3.5,0
Rudy Gobert,2016-17,24,12.8,12.6,0.9,33.5,5.8,2.6,2.9,0,6.8,0.663,4.5,0.645,0.7,1.8,0.661,0.68,48,0,48
Archie Goodwin,2016-17,22,5,0,0.3,10,3.3,0.3,0.3,0.5,1.7,0.333,0.7,1,0,0,0.5,0.798,3,0.7,0
Aaron Gordon,2016-17,21,11.6,4.7,2,27.7,2.3,0.4,2.1,0.304,10.3,0.509,4.5,0.618,0.7,1.1,0.491,0.51,47,3.6,39
Eric Gordon,2016-17,28,17.4,2.7,2.8,30.5,2.2,0.5,2,0.392,14.2,0.474,6,0.85,0.6,1.8,0.548,0.575,46,9.2,8
Marcin Gortat,2016-17,32,11.3,11.4,1.6,34.8,2.1,1,3,0,8.6,0.586,5,0.634,0.5,1.7,0.584,0.598,45,0,45
Treveon Graham,2016-17,23,1.5,0.8,0.4,6.1,0.6,0,0.9,0.667,0.9,0.333,0.4,0.625,0.1,0.1,0.667,0.677,14,0.4,1
Jerami Grant,2016-17,22,5.9,2.7,0.5,21.6,2,1.2,2,0.391,4.5,0.504,2.1,0.602,0.4,0.6,0.529,0.555,46,1.4,4
Jerian Grant,2016-17,24,5.2,1.5,1.5,15,1.2,0.1,1.6,0.313,4.6,0.426,1.8,0.952,0.8,0.7,0.442,0.507,36,1.8,7
Danny Green,2016-17,29,7.5,3,1.9,26.4,0.4,0.7,1.8,0.409,6.3,0.459,2.6,0.786,0.9,1,0.573,0.582,37,4.6,37
Draymond Green,2016-17,26,10.7,8.5,7.5,33.3,2.9,1.4,3,0.322,8.6,0.528,3.8,0.667,1.9,2.3,0.511,0.542,44,3.3,44
Gerald Green,2016-17,31,5.3,2,0.9,10.8,0.8,0.2,1,0.35,4.8,0.426,1.9,0.85,0.2,0.5,0.475,0.508,25,2.4,0
JaMychal Green,2016-17,26,9,7.5,1.2,29.4,2.2,0.6,3.6,0.382,6.9,0.509,3.3,0.765,0.8,1.2,0.527,0.569,45,2,45
Jeff Green,2016-17,30,9.6,3,1.2,23.9,2.6,0.2,1.4,0.291,8.4,0.441,3.3,0.857,0.5,1.2,0.439,0.503,46,3.1,10
Blake Griffin,2016-17,27,20.9,8.9,4.7,33.5,7,0.5,2.6,0.227,16.3,0.488,7.7,0.741,1,2.6,0.481,0.538,27,0.8,27
Justin Hamilton,2016-17,26,6.7,4.5,0.9,19.8,0.6,0.7,1.5,0.299,6.1,0.591,2.6,0.72,0.5,0.8,0.515,0.528,39,3.3,5
A.J. Hammons,2016-17,24,1.4,1.2,0.1,4.5,0.6,0.4,0.6,0.667,1.3,0.313,0.5,0.2,0,0.2,0.5,0.455,17,0.4,0
Tim Hardaway,2016-17,24,11.8,2.1,1.9,23,1.8,0.2,1.2,0.351,10,0.537,4.5,0.646,0.6,1.1,0.532,0.547,44,4.8,6
James Harden,2016-17,27,28.6,8.2,11.6,36.6,10.6,0.5,2.6,0.345,18.5,0.539,8.3,0.855,1.4,5.9,0.529,0.618,49,8.8,49
