Player,Season,Age,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,FGM,ft%,Steals,Turnovers,EFG%,TS%,Games,3pa,Games Started
Greg Monroe,2016-17,26,11.1,6.9,2.2,21.3,3.1,0.4,1.7,0,8.6,0.519,4.4,0.728,1.2,1.7,0.516,0.558,44,0,0
E'Twaun Moore,2016-17,27,9.8,2.3,2.3,24.8,1,0.5,1.9,0.39,8.7,0.492,4,0.775,0.6,1,0.523,0.54,42,2.9,20
Marcus Morris,2016-17,27,13.7,4.4,2,32.6,2.1,0.3,2.1,0.335,12.7,0.458,5.2,0.819,0.8,1.1,0.475,0.505,45,4.7,45
Markieff Morris,2016-17,27,13.9,6.6,1.9,31.9,3.2,0.6,3.3,0.33,11.8,0.478,5.3,0.813,1.1,1.9,0.482,0.528,44,2.5,44
Anthony Morrow,2016-17,31,5.5,0.6,0.5,15.2,0.6,0.1,1,0.298,5.2,0.526,2.1,0.833,0.5,0.2,0.484,0.506,31,2.7,7
Donatas Motiejunas,2016-17,26,5.4,2.8,1.3,14,1.7,0.4,1.7,0.438,4.1,0.476,1.9,0.533,0.7,0.9,0.554,0.562,9,1.8,0
Timofey Mozgov,2016-17,30,7.6,5,0.8,20.9,1.4,0.5,2.4,0,6.4,0.511,3.2,0.786,0.3,1.3,0.51,0.544,49,0,49
Emmanuel Mudiay,2016-17,20,12.1,3.5,4.2,28.6,3.2,0.3,1.9,0.318,11.2,0.402,4.2,0.785,0.9,2.6,0.427,0.479,41,3.8,41
Shabazz Muhammad,2016-17,24,8.4,2.8,0.4,18.8,2.2,0.1,1.1,0.426,6.5,0.475,3,0.793,0.3,0.8,0.517,0.566,42,1.6,0
Dejounte Murray,2016-17,20,4.4,1.1,1.3,9,1,0.1,0.8,0.5,3.5,0.471,1.7,0.72,0.2,1,0.524,0.558,24,0.7,6
Jamal Murray,2016-17,19,7.9,2.5,1.8,19.3,1.3,0.3,1.4,0.311,7.5,0.438,2.8,0.833,0.5,1.2,0.452,0.488,45,3.7,3
Mike Muscala,2016-17,25,7.6,3.7,1.4,20.5,1.1,0.6,1.7,0.437,5.9,0.54,3,0.773,0.6,0.9,0.575,0.598,40,1.8,3
