W-L%,PTS,SOS,Season
0.727,66.2,9.27,1996-97* R
0.727,66.2,9.27,1996-97* R
0.727,66.2,9.27,1996-97* R
0.727,66.2,9.27,1996-97* R
0.727,66.2,9.27,1996-97* R
0.727,66.2,9.27,1996-97* R
0.727,66.2,9.27,1996-97* R
0.727,66.2,9.27,1996-97* R
0.727,66.2,9.27,1996-97* R
0.727,66.2,9.27,1996-97* R
0.727,66.2,9.27,1996-97* R
0.727,66.2,9.27,1996-97* R
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
0.581,69.8,10.48,1995-96*
0.581,69.8,10.48,1995-96*
0.581,69.8,10.48,1995-96*
0.581,69.8,10.48,1995-96*
0.581,69.8,10.48,1995-96*
0.581,69.8,10.48,1995-96*
0.581,69.8,10.48,1995-96*
0.581,69.8,10.48,1995-96*
0.581,69.8,10.48,1995-96*
0.581,69.8,10.48,1995-96*
0.581,69.8,10.48,1995-96*
0.581,69.8,10.48,1995-96*
0.581,69.8,10.48,1995-96*
0.581,69.8,10.48,1995-96*
W-L%,PTS,SOS,Season
0.419,,11.89,1994-95
0.419,,11.89,1994-95
0.419,,11.89,1994-95
0.419,,11.89,1994-95
0.419,,11.89,1994-95
0.419,,11.89,1994-95
0.419,,11.89,1994-95
0.419,,11.89,1994-95
0.419,,11.89,1994-95
0.419,,11.89,1994-95
0.419,,11.89,1994-95
0.419,,11.89,1994-95
0.419,,11.89,1994-95
0.419,,11.89,1994-95
W-L%,PTS,SOS,Season
0.824,,8.92,1993-94* RF
0.824,,8.92,1993-94* RF
